ver size count b avg std med min lower upper
1 32 2 1 15.5987 7.6601 7.6790 6.6690 12.1543 19.0431
4 32 2 1 43.0928 25.3015 14.9850 12.6990 31.7159 54.4698
5 32 2 1 89.1591 53.3522 33.7500 30.4720 65.1690 113.1491
r 32 2 1 12.7823 6.4713 6.4270 4.1390 9.8724 15.6922
1 32 100 26 57.4560 18.6316 41.4120 25.8450 48.5991 66.3129
4 32 100 26 112.4210 46.4569 64.1570 38.8230 90.3368 134.5052
5 32 100 26 112.8128 42.9741 66.2170 46.2080 92.3842 133.2414
r 32 100 26 61.1051 12.2681 52.1270 36.8070 55.2732 66.9370
1 32 100 52 37.3529 10.9644 25.8910 20.6210 32.1408 42.5651
4 32 100 52 38.9974 12.1617 27.4270 21.3310 33.2160 44.7787
5 32 100 52 46.6175 6.8856 39.7510 37.1130 43.3443 49.8907
r 32 100 52 56.2804 16.8682 39.8520 29.9600 48.2618 64.2991
1 32 100 100 20.8034 3.9339 16.8720 14.1690 18.9334 22.6735
4 32 100 100 29.9790 10.3958 18.7360 17.0000 25.0371 34.9209
5 32 100 100 37.4815 3.8193 33.7510 31.3280 35.6659 39.2970
r 32 100 100 44.9768 19.5971 23.9860 13.9120 35.6609 54.2927
1 32 512 129 46.4265 10.5343 35.9640 31.0080 41.0954 51.7576
4 32 512 129 46.7090 7.4771 39.7960 35.6380 42.9250 50.4930
5 32 512 129 54.6043 2.4660 53.1310 48.7960 53.3563 55.8523
r 32 512 129 44.9280 9.4834 35.2980 31.1310 40.1288 49.7272
1 32 512 258 35.6267 5.2716 31.0290 26.4120 32.9589 38.2944
4 32 512 258 35.0373 5.4322 29.3410 27.0580 32.2882 37.7863
5 32 512 258 59.5753 10.3303 52.2750 43.7670 54.3475 64.8032
r 32 512 258 48.4722 16.6664 32.7600 26.4110 40.0379 56.9065
1 32 512 512 29.4921 3.7892 25.9020 22.0200 27.5745 31.4097
4 32 512 512 26.9785 1.8443 25.7960 23.7500 26.0452 27.9119
5 32 512 512 41.6723 1.6598 40.2380 38.7130 40.8323 42.5122
r 32 512 512 34.5844 8.6017 26.6970 20.8860 30.2313 38.9375
1 32 4096 1025 98.9502 9.3051 90.4760 83.2890 93.8919 104.0085
4 32 4096 1025 96.0897 9.1855 87.2670 83.5750 91.0964 101.0830
5 32 4096 1025 98.5062 5.0661 94.7730 88.8370 95.7522 101.2601
r 32 4096 1025 63.8978 12.2449 52.0380 44.4800 57.2414 70.5543
1 32 4096 2050 91.8425 4.7246 87.4030 85.0750 89.2742 94.4108
4 32 4096 2050 91.1762 2.5608 89.6510 85.8690 89.7841 92.5682
5 32 4096 2050 105.9911 4.5335 103.0540 98.6580 103.5266 108.4555
r 32 4096 2050 60.3175 11.0759 48.1230 44.5310 54.2966 66.3385
1 32 4096 4096 90.7463 3.9128 87.2690 84.5520 88.6193 92.8733
4 32 4096 4096 189.7233 9.3512 179.9740 175.9100 184.6399 194.8067
5 32 4096 4096 187.8352 3.6681 184.7650 180.4900 185.8412 189.8292
