ver size count b avg std med min lower upper
1 16 2 1 19.5265 9.7374 9.2220 8.0820 15.1481 23.9050
4 16 2 1 42.4936 28.4364 12.3680 10.4030 29.7070 55.2802
5 16 2 1 34.1161 8.9258 24.7210 23.2980 30.1025 38.1296
r 16 2 1 9.4754 2.3235 7.1980 5.4610 8.4306 10.5202
1 16 100 26 53.1604 15.2835 37.7450 28.0890 45.8950 60.4257
4 16 100 26 84.3704 27.3460 59.5720 31.9440 71.3710 97.3699
5 16 100 26 92.8933 36.0752 50.9170 42.1740 75.7442 110.0423
r 16 100 26 32.4550 3.4042 29.1260 27.9780 30.8367 34.0733
1 16 100 52 32.3516 9.2374 27.5400 13.3230 27.9604 36.7428
4 16 100 52 20.5221 1.9884 18.7950 17.0280 19.5769 21.4674
5 16 100 52 35.9660 6.4940 29.6790 27.1910 32.8790 39.0530
r 16 100 52 30.3190 7.9506 25.2940 8.5670 26.5395 34.0985
1 16 100 100 29.4951 11.1551 18.7590 13.9270 24.1923 34.7979
4 16 100 100 18.2879 4.9944 12.9820 11.8970 15.9137 20.6621
5 16 100 100 26.8763 1.7425 25.3500 23.9460 26.0480 27.7046
r 16 100 100 27.0733 11.3424 15.2130 9.6120 21.6814 32.4651
1 16 512 129 25.8891 5.2217 21.0290 17.4710 23.2465 28.5316
4 16 512 129 33.5692 2.2397 32.0490 28.3300 32.4358 34.7026
5 16 512 129 44.6378 2.9310 42.1780 39.8700 43.1545 46.1211
r 16 512 129 28.5325 12.6518 15.3870 12.5150 22.1298 34.9352
1 16 512 258 23.6881 3.3113 20.7330 17.7010 22.0124 25.3639
4 16 512 258 22.3101 1.4230 21.1980 19.2460 21.5900 23.0303
5 16 512 258 35.5365 2.5851 33.3150 30.8690 34.2282 36.8447
r 16 512 258 18.9009 4.1137 14.7820 12.1140 16.8190 20.9827
1 16 512 512 23.8823 3.1593 20.8170 19.2130 22.2834 25.4811
4 16 512 512 19.7423 1.2650 18.8230 17.1050 19.1022 20.3825
5 16 512 512 31.6811 2.1867 29.6990 27.9220 30.5745 32.7878
r 16 512 512 17.0199 2.9179 14.3680 12.7300 15.5432 18.4965
1 16 4096 1025 88.9395 9.0205 78.9580 76.0910 84.0359 93.8432
4 16 4096 1025 70.5937 4.5548 65.8930 63.7880 68.1177 73.0697
5 16 4096 1025 75.0333 3.5676 72.1990 69.1370 73.0939 76.9727
r 16 4096 1025 46.2160 6.1488 40.8640 36.3620 42.8735 49.5585
1 16 4096 2050 82.9510 6.3791 77.2150 72.7540 79.4833 86.4187
4 16 4096 2050 74.4460 8.6168 65.6490 61.8950 69.7618 79.1302
5 16 4096 2050 75.1050 2.2941 73.3720 69.8870 73.8579 76.3521
r 16 4096 2050 40.7503 3.6117 37.9930 34.2690 38.7869 42.7137
1 16 4096 4096 77.6318 2.0295 75.8110 73.8200 76.5285 78.7350
4 16 4096 4096 121.0851 1.8254 120.2140 116.8200 120.0928 122.0774
5 16 4096 4096 130.3908 4.8830 125.5300 122.6820 127.7364 133.0453
r 16 4096 4096 40.9274 2.5714 39.4110 35.7490 39.5296 42.3252
1 16 10000 2501 135.1564 5.2431 130.7220 126.6790 132.0579 138.2548
4 16 10000 2501 128.1148 5.4812 122.9450 118.3170 124.8756 131.3540
5 16 10000 2501 122.9579 8.5509 114.2960 111.5850 117.9047 128.0112
r 16 10000 2501 94.1005 14.5039 78.1820 75.7240 85.5292 102.6717
1 16 10000 5002 139.7427 10.6739 129.9510 123.7380 133.4349 146.0506
4 16 10000 5002 209.4608 7.2563 202.9190 197.8730 205.1726 213.7490
5 16 10000 5002 204.6402 6.0691 199.0520 194.9400 201.0536 208.2268
r 16 10000 5002 76.9997 2.2690 75.4530 72.5440 75.6589 78.3406
1 16 10000 10000 136.9470 8.8807 128.8250 123.7710 131.6988 142.1952
4 16 10000 10000 216.6221 3.0076 214.0970 211.6240 214.8447 218.3994
5 16 10000 10000 214.5254 4.6518 209.7990 208.3800 211.7763 217.2744
r 16 10000 10000 101.0305 23.9375 76.5100 73.2950 86.8843 115.1766
1 16 65536 16385 828.9472 31.8133 805.9030 782.3080 808.1625 849.7319
4 16 65536 16385 884.9830 16.7948 870.3140 858.6170 874.0104 895.9556
5 16 65536 16385 742.3709 11.4276 737.4030 720.5240 734.9048 749.8369
r 16 65536 16385 401.7664 14.4433 399.0700 373.1600 392.3302 411.2027
1 16 65536 32770 837.9804 43.6313 794.8910 781.6140 809.4746 866.4863
4 16 65536 32770 916.1229 6.1847 912.9970 904.1140 912.0822 920.1636
5 16 65536 32770 853.9282 11.0800 849.5600 835.0270 846.6893 861.1672
r 16 65536 32770 393.6648 9.3437 385.9890 376.4940 387.5602 399.7693
1 16 65536 65536 826.8513 30.3728 802.3970 767.8110 807.0078 846.6949
4 16 65536 65536 1099.5397 7.5300 1094.5250 1086.7600 1094.6200 1104.4593
5 16 65536 65536 1146.7761 24.7411 1119.8100 1109.4010 1130.6119 1162.9403
r 16 65536 65536 388.4994 5.8931 384.6050 374.4450 384.6493 392.3496
1 16 524288 131073 4838.4707 42.1728 4802.3550 4779.1490 4807.2287 4869.7128
4 16 524288 131073 5445.9611 13.5821 5442.0010 5415.0420 5435.8994 5456.0229
5 16 524288 131073 4728.4980 24.3128 4707.4330 4682.2540 4710.4868 4746.5092
r 16 524288 131073 3006.4360 89.1801 2893.9990 2877.9550 2940.3705 3072.5015
