ver size count b avg std med min lower upper
1 36 524288 524288 7242.9186 259.4028 7137.2850 6783.5630 7050.7503 7435.0869
4 36 524288 524288 8215.9837 37.2776 8180.5410 8156.1740 8188.3681 8243.5993
5 36 524288 524288 8630.5927 13.5982 8622.7540 8606.8740 8620.5190 8640.6664
r 36 524288 524288 3469.1446 11.3274 3459.2400 3449.7180 3460.7531 3477.5360
1 36 1000000 250001 11943.3200 339.8057 11864.5500 11220.7870 11645.4672 12241.1728
4 36 1000000 250001 8372.2122 45.3703 8353.6910 8276.9470 8332.4434 8411.9810
5 36 1000000 250001 6935.0014 54.2673 6876.8470 6851.0560 6887.4340 6982.5688
r 36 1000000 250001 5054.5140 43.8530 5022.3970 4973.2940 5016.0752 5092.9528
1 36 1000000 500002 12112.7650 148.3607 11973.7150 11897.3730 11982.7211 12242.8089
4 36 1000000 500002 9837.4504 65.6866 9805.1750 9719.6480 9779.8735 9895.0273
5 36 1000000 500002 10141.1480 58.4476 10127.0010 10020.2630 10089.9164 10192.3796
r 36 1000000 500002 5021.6862 16.2709 5007.0700 4995.2470 5007.4241 5035.9483
1 36 1000000 1000000 12297.8188 318.0795 11973.5610 11844.3130 12019.0098 12576.6278
4 36 1000000 1000000 13238.7632 35.4781 13211.5360 13172.8350 13207.6653 13269.8611
5 36 1000000 1000000 14354.3470 16.6165 14339.9990 14330.0510 14339.7820 14368.9120
r 36 1000000 1000000 5085.7550 94.6177 4985.0480 4952.7650 5002.8189 5168.6911
1 36 10000000 2500001 149620.2000 715.1321 149262.5000 148434.3280 148810.9519 150429.4481
4 36 10000000 2500001 87480.7757 853.0712 88049.2570 86275.0050 86515.4347 88446.1167
5 36 10000000 2500001 61670.5450 460.2441 61244.8210 60996.5770 61149.7298 62191.3602
r 36 10000000 2500001 61508.7247 1118.9285 60313.0800 60105.4980 60242.5379 62774.9114
1 36 10000000 5000002 152653.8793 1732.2463 151934.6030 150121.0470 150693.6581 154614.1006
4 36 10000000 5000002 108418.5430 861.2753 108622.1310 107096.7450 107443.9182 109393.1678
5 36 10000000 5000002 100284.3313 2608.4939 98814.6900 98088.8830 97332.5426 103236.1201
r 36 10000000 5000002 62190.1483 999.3150 61393.5610 60705.9980 61059.3170 63320.9797
1 36 10000000 10000000 151419.0240 1917.5218 151314.7150 148105.9790 149249.1439 153588.9041
4 36 10000000 10000000 187525.5343 1336.5061 188198.1250 185659.5040 186013.1353 189037.9334
5 36 10000000 10000000 227200.9893 1969.7988 227727.3530 224568.7640 224971.9521 229430.0265
r 36 10000000 10000000 53837.9210 1753.9572 51824.7860 51562.7540 51853.1316 55822.7104
