ver size count b avg std med min lower upper
1 36 2 1 17.9005 4.1440 13.3160 12.7360 16.0371 19.7639
4 36 2 1 26.5091 7.9264 18.2030 17.3650 22.9450 30.0733
5 36 2 1 58.4348 21.7119 35.4360 33.1990 48.6719 68.1977
r 36 2 1 20.5786 8.7041 11.4970 9.7060 16.6648 24.4925
1 36 100 26 17.9956 0.5633 17.5410 16.5800 17.7279 18.2634
4 36 100 26 34.6908 5.5134 28.7660 27.4360 32.0698 37.3117
5 36 100 26 53.5321 7.4214 45.4870 44.2260 50.0041 57.0600
r 36 100 26 28.1165 3.4238 24.5020 23.1300 26.4890 29.7441
1 36 100 52 20.3581 2.6145 17.4590 17.1270 19.1152 21.6009
4 36 100 52 32.4320 10.4001 21.7180 20.7010 27.4881 37.3759
5 36 100 52 39.5913 2.3915 37.2040 36.5510 38.4545 40.7281
r 36 100 52 28.7906 4.5879 24.4740 23.1080 26.6096 30.9715
1 36 100 100 18.1988 0.7366 17.4400 17.2420 17.8487 18.5490
4 36 100 100 22.5076 3.3559 18.8810 18.2210 20.9123 24.1030
5 36 100 100 38.3070 5.2883 32.7950 31.4790 35.7931 40.8209
r 36 100 100 25.7796 1.5189 24.2620 23.3880 25.0576 26.5017
1 36 512 129 48.0017 24.6253 20.9840 19.2980 35.5396 60.4639
4 36 512 129 41.4330 9.8424 31.2030 29.3210 36.4521 46.4139
5 36 512 129 53.6214 5.9848 47.2350 46.0480 50.5927 56.6501
r 36 512 129 30.3517 4.4466 25.7830 24.5670 28.1014 32.6020
1 36 512 258 29.2652 7.6180 21.3800 19.7950 25.4100 33.1204
4 36 512 258 37.1249 10.1583 25.2830 24.1450 31.9841 42.2657
5 36 512 258 57.1214 12.9512 45.6450 39.7130 50.5672 63.6756
r 36 512 258 32.5447 6.4663 25.9060 24.5800 29.2723 35.8171
1 36 512 512 96.1184 139.1334 20.5370 19.1390 25.7072 166.5296
4 36 512 512 33.7236 9.0363 24.1580 23.1750 29.1506 38.2966
5 36 512 512 40.9622 5.1283 37.3210 36.2000 38.3669 43.5575
r 36 512 512 35.2682 8.2322 26.3910 24.8890 31.1021 39.4343
1 36 4096 1025 55.5765 2.2965 53.5840 52.0940 54.3281 56.8249
4 36 4096 1025 75.2720 21.1597 52.5320 50.5460 63.7694 86.7746
5 36 4096 1025 69.5222 2.4681 67.2790 64.8910 68.1805 70.8638
r 36 4096 1025 53.4179 9.8369 42.0930 40.6380 48.0705 58.7653
1 36 4096 2050 54.9414 2.4386 52.5960 51.1170 53.6158 56.2670
4 36 4096 2050 83.7843 7.4057 75.7680 73.4370 79.7585 87.8101
5 36 4096 2050 115.7933 7.6156 109.9000 100.7290 111.6534 119.9332
r 36 4096 2050 44.5491 2.7791 41.6590 40.5830 43.0383 46.0598
1 36 4096 4096 55.9988 2.7273 53.6570 51.5320 54.5162 57.4813
4 36 4096 4096 788.0760 659.5227 81.7860 78.5270 429.5554 1146.5966
5 36 4096 4096 112.7966 16.7832 94.1270 91.5610 103.6732 121.9201
r 36 4096 4096 46.6962 6.3481 42.0310 40.3660 43.2453 50.1470
1 36 10000 2501 215.8600 74.2076 128.6880 123.8270 172.0061 259.7139
4 36 10000 2501 292.0362 170.7284 135.3740 126.1470 191.1422 392.9302
5 36 10000 2501 393.1256 217.1096 160.7320 147.0310 264.8220 521.4292
r 36 10000 2501 272.0036 185.4195 75.8380 71.1410 162.4277 381.5795
1 36 10000 5002 214.0130 78.3624 125.3320 123.5170 167.7038 260.3222
4 36 10000 5002 409.6772 283.0617 120.2030 116.8980 242.3984 576.9559
5 36 10000 5002 568.3115 388.5586 138.9280 134.2690 338.6880 797.9349
r 36 10000 5002 84.9062 9.7697 76.3070 69.1330 79.1327 90.6797
1 36 10000 10000 439.6902 266.7702 130.0570 122.6680 282.0391 597.3413
4 36 10000 10000 598.9494 363.7755 201.3380 198.0570 383.9718 813.9270
5 36 10000 10000 250.0075 32.6183 215.9420 210.6340 230.7313 269.2836
r 36 10000 10000 356.3067 262.0695 80.8510 76.7900 201.4336 511.1799
1 36 65536 16385 806.8477 17.6361 796.8340 760.9310 795.3254 818.3699
4 36 65536 16385 1102.3923 103.3628 1002.3560 987.2900 1034.8620 1169.9227
5 36 65536 16385 746.6750 15.2717 738.0860 715.1560 736.6975 756.6525
r 36 65536 16385 422.5926 21.8892 414.3500 378.0320 408.2916 436.8935
1 36 65536 32770 800.1211 18.9117 798.1490 755.5920 787.7655 812.4767
4 36 65536 32770 964.6177 23.9984 942.1710 925.4550 948.9387 980.2966
5 36 65536 32770 786.8960 10.7333 775.7480 771.9450 779.8835 793.9085
r 36 65536 32770 532.6601 110.9985 414.9710 383.0950 460.1411 605.1791
1 36 65536 65536 803.2574 76.5261 790.0530 645.1090 753.2604 853.2545
4 36 65536 65536 1054.3679 9.6828 1046.9600 1037.2390 1048.0418 1060.6940
5 36 65536 65536 1019.7070 17.3191 999.9870 999.0940 1008.3919 1031.0221
r 36 65536 65536 413.2968 10.9171 408.5220 383.8060 406.1643 420.4293
1 36 524288 131073 7146.9930 264.5199 7065.1910 6590.8170 6951.0339 7342.9521
4 36 524288 131073 5594.3170 26.7908 5584.8260 5534.2370 5574.4701 5614.1639
5 36 524288 131073 3727.6784 53.3359 3687.2190 3622.2080 3688.1667 3767.1902
r 36 524288 131073 3531.4331 174.8377 3328.9490 3305.6390 3401.9116 3660.9547
1 36 524288 262146 7282.6749 93.1513 7262.1980 7072.6080 7213.6674 7351.6823
4 36 524288 262146 6655.6546 60.3072 6620.5300 6543.0860 6610.9784 6700.3308
5 36 524288 262146 5723.2470 88.3187 5666.5430 5583.3470 5657.8196 5788.6744
r 36 524288 262146 4190.0003 92.3603 4112.2430 4104.7140 4121.5788 4258.4217
