ver size count b avg std med min lower upper
1 640 2 1 54.9110 26.3876 25.2380 17.6420 43.0457 66.7763
4 640 2 1 74.1305 31.0319 41.4500 29.7360 60.1769 88.0842
5 640 2 1 117.9809 42.4532 71.0970 60.7630 98.8916 137.0703
r 640 2 1 53.5836 23.7808 26.6490 19.2040 42.8905 64.2768
1 640 100 26 90.5368 25.1707 65.5400 60.4650 78.5714 102.5021
4 640 100 26 137.2710 49.2864 78.8170 64.7350 113.8417 160.7003
5 640 100 26 248.0731 131.5679 108.2760 90.3440 185.5297 310.6165
r 640 100 26 77.0765 6.7491 73.4190 61.9190 73.8682 80.2848
1 640 100 52 66.1770 17.5763 47.3050 40.0920 57.8218 74.5322
4 640 100 52 91.4993 42.2267 49.5570 39.5850 71.4260 111.5726
5 640 100 52 90.4596 16.7741 73.1510 67.1360 82.4857 98.4335
r 640 100 52 72.1030 17.8794 55.2930 45.5940 63.6037 80.6023
1 640 100 100 46.2141 7.9512 38.7970 34.4360 42.4343 49.9938
4 640 100 100 61.0827 16.0304 48.2850 37.3730 53.4623 68.7031
5 640 100 100 74.5150 9.1935 67.4140 60.8850 70.1447 78.8853
r 640 100 100 43.6151 3.9822 39.7680 38.2070 41.7221 45.5081
1 640 512 129 73.8152 14.7372 59.4370 51.7530 66.3572 81.2732
4 640 512 129 81.0619 13.1987 67.8120 61.6930 74.3824 87.7413
5 640 512 129 112.4876 13.2043 100.8930 89.1470 105.8053 119.1699
r 640 512 129 228.0982 150.7874 69.1170 62.8150 151.7892 304.4072
1 640 512 258 65.1203 16.2993 52.2910 41.0930 56.8718 73.3689
4 640 512 258 66.2850 6.0601 60.0950 57.8260 63.2182 69.3518
5 640 512 258 126.3445 61.8868 93.7670 83.5730 95.0254 157.6635
r 640 512 258 108.2830 38.6919 68.3040 61.3320 88.7022 127.8638
1 640 512 512 89.7041 47.1082 39.9240 37.0280 65.8640 113.5441
4 640 512 512 91.5187 25.9563 64.1500 62.5370 78.3830 104.6544
5 640 512 512 105.6250 12.5845 91.9430 89.2240 99.2564 111.9936
r 640 512 512 85.4420 28.8737 56.6800 40.9170 70.8299 100.0541
1 640 4096 1025 196.5893 15.8164 183.4680 168.4550 187.9914 205.1872
4 640 4096 1025 239.3620 43.9413 192.8100 187.2400 215.4753 263.2487
5 640 4096 1025 338.6443 121.4930 208.2900 199.4870 272.6000 404.6886
r 640 4096 1025 397.9420 251.2372 133.9110 120.3370 261.3679 534.5161
1 640 4096 2050 210.6313 43.9619 172.4720 166.3480 186.7333 234.5293
4 640 4096 2050 382.3433 121.4004 258.5760 253.7820 316.3493 448.3373
5 640 4096 2050 345.7561 34.0738 310.6550 298.0510 327.2334 364.2788
r 640 4096 2050 146.9715 22.4663 125.1690 118.7150 134.7586 159.1843
1 640 4096 4096 217.9520 46.3547 170.4000 159.6000 192.7533 243.1507
4 640 4096 4096 573.7833 146.5124 418.5550 394.4040 494.1383 653.4284
5 640 4096 4096 549.7624 100.5534 443.7770 433.5960 495.1009 604.4238
r 640 4096 4096 298.8642 162.1659 146.7290 116.0720 210.7098 387.0185
1 640 10000 2501 280.0146 14.2998 267.9470 256.4520 271.5640 288.4653
4 640 10000 2501 534.5472 69.1245 462.1130 440.4600 493.6972 575.3971
5 640 10000 2501 482.0243 24.8314 457.5290 441.0070 467.3499 496.6987
r 640 10000 2501 213.3526 21.2633 192.5330 184.2540 200.7868 225.9185
1 640 10000 5002 339.8868 73.1594 262.4640 257.1150 296.6524 383.1213
4 640 10000 5002 682.6260 33.0778 658.2440 617.8650 663.0783 702.1737
5 640 10000 5002 742.7524 102.9556 634.6170 616.3200 681.9095 803.5952
r 640 10000 5002 314.5401 120.2713 190.2920 180.7540 243.4643 385.6159
1 640 10000 10000 276.8555 19.4287 257.7850 251.6840 265.3739 288.3372
4 640 10000 10000 940.8520 39.5331 906.2710 877.8070 917.4894 964.2146
5 640 10000 10000 1251.4411 745.8071 1007.3500 957.4970 810.6972 1692.1849
r 640 10000 10000 248.7069 60.9507 209.6320 194.6560 212.6873 284.7265
1 640 65536 16385 1568.2399 17.1843 1552.8140 1530.4330 1557.0128 1579.4670
4 640 65536 16385 2733.6546 76.5183 2661.4390 2625.6280 2683.6626 2783.6465
5 640 65536 16385 2603.4852 80.0716 2537.0180 2459.0950 2551.1718 2655.7986
r 640 65536 16385 930.6500 23.6724 913.2920 882.1470 915.1841 946.1159
1 640 65536 32770 1549.7958 18.2739 1536.0740 1512.8170 1537.8568 1561.7347
4 640 65536 32770 3622.2888 102.3372 3526.6710 3455.1360 3555.4284 3689.1491
5 640 65536 32770 3812.0750 106.8679 3718.2260 3607.7310 3742.2547 3881.8953
r 640 65536 32770 910.4080 13.8381 898.8640 889.1980 901.3671 919.4489
1 640 65536 65536 1740.5184 177.1238 1555.0670 1502.0180 1624.7976 1856.2393
4 640 65536 65536 6157.8764 1129.3192 4926.0140 4812.4090 5420.0546 6895.6983
5 640 65536 65536 5236.6354 105.0581 5149.9020 5075.9790 5167.9975 5305.2734
r 640 65536 65536 987.9959 95.5068 895.9890 891.0900 925.5981 1050.3937
1 640 524288 131073 15409.5176 281.1317 15286.1290 14860.3620 15201.2523 15617.7829
4 640 524288 131073 20462.9323 282.2186 20262.2100 20001.4040 20253.8618 20672.0028
