ver size count b avg std med min lower upper
4 1152 65536 16385 3060.1370 58.9247 3004.5770 2954.6610 3021.6395 3098.6345
5 1152 65536 16385 2997.7562 62.4513 2943.3090 2906.9660 2956.9547 3038.5577
r 1152 65536 16385 938.9430 27.8780 908.5350 903.2550 920.7294 957.1566
1 1152 65536 32770 1680.3320 29.7237 1671.3550 1600.2070 1660.9125 1699.7515
4 1152 65536 32770 4253.4361 296.6701 3982.9050 3966.9460 4059.6116 4447.2606
5 1152 65536 32770 5066.5944 907.9520 4234.4770 4083.9660 4473.3991 5659.7898
r 1152 65536 32770 3741.3630 2484.5822 966.8460 896.5790 2118.1026 5364.6234
1 1152 65536 65536 1696.7470 38.3639 1662.3350 1636.9370 1671.6826 1721.8114
4 1152 65536 65536 5625.8938 108.8525 5533.8430 5422.1320 5554.7768 5697.0107
5 1152 65536 65536 5879.0617 67.3041 5823.0020 5732.7110 5835.0896 5923.0337
r 1152 65536 65536 899.9881 8.0904 896.1860 882.7650 894.7024 905.2739
1 1152 524288 131073 17124.7684 2072.1009 14547.9520 14401.3810 15589.7346 18659.8022
4 1152 524288 131073 24794.6770 1166.9622 23488.7580 23206.3160 23930.1793 25659.1747
5 1152 524288 131073 23100.5716 568.8488 22685.5580 22037.9170 22679.1625 23521.9807
r 1152 524288 131073 8575.4153 419.7388 8270.0720 8205.3030 8264.4685 8886.3621
1 1152 524288 262146 14903.6080 406.9215 14456.0550 14422.2220 14602.1563 15205.0597
4 1152 524288 262146 33095.0999 1048.3592 32078.5070 31625.7440 32318.4645 33871.7353
5 1152 524288 262146 33471.3557 815.8501 32884.1660 32130.9920 32866.9655 34075.7459
r 1152 524288 262146 8683.9327 352.3904 8292.9830 8248.7610 8422.8783 8944.9872
1 1152 524288 524288 15889.6897 1193.5573 14514.8470 14374.2160 15005.4901 16773.8893
4 1152 524288 524288 43786.9860 450.3041 43509.0870 42900.0980 43453.3960 44120.5760
5 1152 524288 524288 47203.8494 1440.3508 46210.3860 44108.5790 46136.8226 48270.8762
r 1152 524288 524288 11715.4211 3253.2047 8214.9260 8110.6440 9305.4133 14125.4289
1 1152 1000000 250001 30557.2740 1747.8292 28666.4270 28393.1990 29025.2342 32089.3138
4 1152 1000000 250001 44971.1038 573.7757 44847.3600 44127.8240 44468.1672 45474.0404
5 1152 1000000 250001 43109.4152 336.7558 42881.0380 42696.3980 42814.2358 43404.5946
r 1152 1000000 250001 16914.8328 470.0269 16449.0240 16244.3110 16502.8360 17326.8296
1 1152 1000000 500002 32204.0778 2537.4002 29124.9890 28762.3570 29979.9485 34428.2071
4 1152 1000000 500002 61140.4328 903.8647 60285.1860 59693.5280 60348.1605 61932.7051
5 1152 1000000 500002 64240.9184 973.9712 63227.1810 63073.9590 63387.1950 65094.6418
r 1152 1000000 500002 16752.8792 1055.2701 16229.2660 16146.8360 15827.8942 17677.8642
1 1152 1000000 1000000 28545.3318 84.3175 28501.7540 28407.1780 28471.4243 28619.2393
4 1152 1000000 1000000 83698.1650 566.5532 83234.0800 82733.4130 83201.5592 84194.7708
5 1152 1000000 1000000 89883.3854 1435.9064 89013.4630 87227.0980 88624.7580 91142.0128
r 1152 1000000 1000000 18102.7202 1655.2360 16307.6080 16164.7210 16651.8419 19553.5985
1 1152 10000000 2500001 346766.2140 5265.7697 345224.0800 337776.9530 340807.4347 352724.9933
4 1152 10000000 2500001 461578.6727 6353.6360 462075.9850 453560.3610 454388.8567 468768.4887
5 1152 10000000 2500001 445639.4787 3951.7935 445197.2190 438866.5880 441167.6033 450111.3540
r 1152 10000000 2500001 173751.7520 2050.9169 175102.5880 170853.5380 171430.9210 176072.5830
1 1152 10000000 5000002 349719.1390 5147.2957 347607.2380 341057.5090 343894.4255 355543.8525
4 1152 10000000 5000002 632195.0740 12306.4113 633536.0650 613167.8300 618269.0587 646121.0893
5 1152 10000000 5000002 653471.5050 15099.8213 642406.2320 629773.9620 636384.4486 670558.5614
r 1152 10000000 5000002 174535.9350 1363.6842 174253.5780 172259.9130 172992.7811 176079.0889
1 1152 10000000 10000000 341959.5570 2579.0096 341046.1800 337586.9590 339041.1330 344877.9810
4 1152 10000000 10000000 923865.7617 16136.0080 917335.5830 900035.1910 905606.1497 942125.3737
5 1152 10000000 10000000 990620.4163 9833.3635 990096.6150 975393.8410 979492.9180 1001747.9147
r 1152 10000000 10000000 173320.6843 1263.7227 172433.6830 172394.8720 171890.6475 174750.7212
