ver size count b avg std med min lower upper
1 1152 2 1 38.3904 12.5277 24.9300 22.2710 32.7572 44.0235
4 1152 2 1 64.9870 21.5402 41.8250 34.0770 55.3013 74.6727
5 1152 2 1 113.1362 24.9101 96.0330 72.3910 101.9352 124.3371
r 1152 2 1 199.3976 162.1427 31.1250 22.0390 126.4893 272.3058
1 1152 100 26 73.2452 5.2828 67.5520 64.6480 70.7339 75.7565
4 1152 100 26 124.2560 35.7940 107.6780 67.3830 107.2406 141.2714
5 1152 100 26 223.5558 101.6759 111.7240 98.4190 175.2222 271.8895
r 1152 100 26 79.8499 5.7306 77.5890 68.6020 77.1257 82.5740
1 1152 100 52 72.7857 15.4815 59.2580 49.3220 65.4263 80.1451
4 1152 100 52 68.1091 20.6388 57.2250 46.7120 58.2980 77.9202
5 1152 100 52 104.5370 25.6120 86.6630 76.9450 92.3618 116.7122
r 1152 100 52 71.1028 14.2738 61.9660 47.9470 64.3174 77.8881
1 1152 100 100 51.1950 8.1646 43.1320 37.1190 47.3138 55.0762
4 1152 100 100 74.5155 30.9772 41.8090 39.1490 59.7898 89.2411
5 1152 100 100 133.7078 66.3944 73.9260 69.0070 102.1459 165.2697
r 1152 100 100 145.1615 103.6282 42.1610 40.4220 95.8997 194.4232
1 1152 512 129 73.6407 11.1200 64.7540 55.0070 68.0132 79.2682
4 1152 512 129 157.7079 75.3959 75.9440 69.4600 119.5524 195.8635
5 1152 512 129 116.3449 12.6567 106.9650 96.9990 109.9398 122.7501
r 1152 512 129 98.4914 57.2042 73.3610 66.9450 69.5421 127.4407
1 1152 512 258 64.2435 10.7185 55.6300 45.7170 58.8192 69.6678
4 1152 512 258 79.8325 8.8289 72.4810 64.2580 75.3644 84.3005
5 1152 512 258 333.8760 211.9855 115.0830 96.7520 226.5965 441.1555
r 1152 512 258 141.0326 63.1259 75.2070 65.0640 109.0865 172.9787
1 1152 512 512 63.4932 16.4960 45.7080 43.0920 55.1451 71.8413
4 1152 512 512 80.5013 8.0937 71.3340 68.8040 76.4053 84.5973
5 1152 512 512 117.8849 13.2932 103.7170 98.4620 111.1576 124.6122
r 1152 512 512 75.7530 17.3259 58.3970 49.8440 66.9849 84.5211
1 1152 4096 1025 325.6975 162.1572 163.0920 147.6150 237.5478 413.8471
4 1152 4096 1025 325.4759 84.6453 235.8360 224.7220 279.4622 371.4896
5 1152 4096 1025 438.4397 183.6514 246.0520 231.1710 338.6057 538.2737
r 1152 4096 1025 166.6027 28.8952 134.9900 128.8430 150.8951 182.3103
1 1152 4096 2050 165.3608 15.1799 149.0700 145.2930 157.1090 173.6127
4 1152 4096 2050 378.9670 86.0033 285.7010 279.6820 332.2151 425.7189
5 1152 4096 2050 353.0730 16.6640 341.1390 328.5320 344.0143 362.1317
r 1152 4096 2050 161.1885 28.3873 135.9870 121.3880 145.7570 176.6201
1 1152 4096 4096 192.8695 40.8568 149.2320 143.4670 170.6594 215.0795
4 1152 4096 4096 526.2150 61.1808 464.5510 450.7290 492.9567 559.4733
5 1152 4096 4096 533.7616 41.8407 488.7680 474.0340 511.0168 556.5065
r 1152 4096 4096 213.7018 85.7620 125.5140 116.5880 167.0811 260.3226
1 1152 10000 2501 380.6524 75.5227 298.3290 292.3270 336.0213 425.2834
4 1152 10000 2501 657.8471 98.2546 557.0930 524.2790 599.7823 715.9118
5 1152 10000 2501 752.3864 200.6894 544.2090 507.3010 633.7865 870.9862
r 1152 10000 2501 224.3486 23.0024 202.5010 188.2460 210.7551 237.9422
1 1152 10000 5002 325.3076 29.4312 295.4960 288.9360 307.9149 342.7004
4 1152 10000 5002 784.2158 48.0417 738.6770 720.5610 755.8250 812.6066
5 1152 10000 5002 861.0520 36.9277 829.7930 802.8310 839.2291 882.8749
r 1152 10000 5002 306.1556 106.8160 192.1700 186.0060 243.0314 369.2799
1 1152 10000 10000 456.6613 150.8014 292.0820 286.9330 367.5433 545.7792
4 1152 10000 10000 1037.4471 24.2052 1008.7660 1005.2480 1023.1427 1051.7515
5 1152 10000 10000 1212.1562 77.3516 1133.2880 1099.0320 1166.4443 1257.8681
r 1152 10000 10000 239.9767 30.1431 214.6200 209.0490 222.1633 257.7902
1 1152 65536 16385 1839.1986 142.9307 1690.9890 1673.6340 1745.8172 1932.5799
