ver size count b avg std med min lower upper
1 20 2 1 24.6181 13.3038 10.4930 9.5600 18.6359 30.6002
4 20 2 1 25.3748 9.3044 15.3600 14.5670 21.1910 29.5585
5 20 2 1 38.2204 9.3184 27.9780 26.8870 34.0304 42.4105
r 20 2 1 28.6707 17.8411 9.2540 8.5930 20.6483 36.6930
1 20 100 26 17.1733 2.9286 14.1820 12.8790 15.7811 18.5655
4 20 100 26 26.7126 2.6727 24.1310 22.4530 25.4421 27.9831
5 20 100 26 40.1489 2.6633 37.5320 36.1110 38.8829 41.4150
r 20 100 26 14.9582 3.9398 10.8570 9.9290 13.0854 16.8311
1 20 100 52 14.5015 0.6456 13.9470 13.3310 14.1946 14.8084
4 20 100 52 18.0100 0.9252 17.0520 16.5620 17.5702 18.4498
5 20 100 52 32.3970 2.6464 29.4980 29.2490 31.1390 33.6550
r 20 100 52 13.2388 2.5110 10.6830 10.0820 12.0451 14.4324
1 20 100 100 17.3660 3.1680 14.0250 12.4560 15.8600 18.8720
4 20 100 100 19.9216 4.7202 15.0670 14.2610 17.6778 22.1655
5 20 100 100 26.9735 1.9721 24.9430 24.3510 26.0361 27.9110
r 20 100 100 12.0749 1.2816 10.7970 10.0580 11.4657 12.6842
1 20 512 129 19.5170 2.3223 17.4180 16.3090 18.3418 20.6922
4 20 512 129 26.9612 1.8952 25.0610 24.2120 26.0021 27.9203
5 20 512 129 48.2769 8.5836 39.1880 37.3900 43.9330 52.6208
r 20 512 129 31.0286 17.1015 13.2030 12.4310 22.3740 39.6832
1 20 512 258 19.6805 2.2972 17.4480 16.2370 18.5179 20.8430
4 20 512 258 20.2760 0.5610 19.8810 19.2370 19.9921 20.5599
5 20 512 258 36.7520 3.9910 32.4820 31.3590 34.7323 38.7717
r 20 512 258 20.2949 6.4110 13.8550 12.4650 17.0504 23.5393
1 20 512 512 17.9101 0.7631 17.2280 16.5110 17.5240 18.2963
4 20 512 512 19.8950 0.7538 19.1730 18.4960 19.5135 20.2765
5 20 512 512 31.6786 2.0241 29.6620 28.9660 30.6543 32.7029
r 20 512 512 14.1829 0.9741 13.1440 12.8870 13.6899 14.6758
1 20 4096 1025 50.1215 6.9029 43.4460 41.5550 46.3691 53.8740
4 20 4096 1025 47.6183 5.9024 41.5560 40.5630 44.4097 50.8269
5 20 4096 1025 62.4940 5.1224 57.0450 56.3820 59.7094 65.2786
r 20 4096 1025 54.1871 14.9240 37.6380 37.1780 46.0743 62.2999
1 20 4096 2050 46.0390 3.4616 42.3090 41.5840 44.1572 47.9208
4 20 4096 2050 70.8448 8.1026 64.3760 56.9740 66.4402 75.2494
5 20 4096 2050 102.7877 16.6218 89.7820 75.0250 93.7520 111.8234
r 20 4096 2050 38.8727 1.3878 37.6750 36.1530 38.1183 39.6271
1 20 4096 4096 47.6885 4.4908 42.7130 41.6170 45.2473 50.1298
