ver size count b avg std med min lower upper
1 320 2 1 48.1740 26.9013 19.3160 18.2150 36.0777 60.2703
4 320 2 1 62.9070 30.5756 28.5890 27.1930 49.1586 76.6554
5 320 2 1 81.4670 18.0352 61.7300 57.0150 73.3574 89.5766
r 320 2 1 56.8860 32.0652 23.5210 18.9080 42.4677 71.3043
1 320 100 26 61.8990 6.9834 55.6470 50.5630 58.5793 65.2187
4 320 100 26 109.3390 33.1324 76.2920 58.2430 93.5889 125.0891
5 320 100 26 154.6261 52.7176 97.7680 79.0640 129.5658 179.6865
r 320 100 26 79.2306 10.6541 70.9340 56.8130 74.1660 84.2953
1 320 100 52 59.2101 13.4189 44.3480 38.7780 52.8312 65.5891
4 320 100 52 747.3526 680.8179 43.3010 37.5910 423.7124 1070.9929
5 320 100 52 101.5136 33.9718 66.0520 64.4670 85.3645 117.6628
r 320 100 52 62.5320 13.9492 47.5680 41.3940 55.9010 69.1630
1 320 100 100 40.8379 4.9805 36.1010 32.8840 38.4703 43.2055
4 320 100 100 39.7711 4.9182 35.1120 32.3730 37.4331 42.1091
5 320 100 100 65.6594 5.1220 60.4910 58.6890 63.2246 68.0943
r 320 100 100 40.6394 4.4810 38.0330 33.4150 38.5092 42.7695
1 320 512 129 52.2474 14.1348 37.0830 36.1410 45.0942 59.4006
4 320 512 129 84.2485 20.1323 64.7260 55.2530 74.0601 94.4368
5 320 512 129 122.9710 22.5073 103.2560 87.4450 111.5807 134.3613
r 320 512 129 41.3945 3.2643 38.5420 36.7120 39.7425 43.0464
1 320 512 258 55.6934 11.0607 45.8700 39.3290 50.0959 61.2909
4 320 512 258 78.1281 13.8514 67.5280 56.1110 71.1183 85.1378
5 320 512 258 118.7989 32.1045 88.1120 75.0480 102.5517 135.0460
r 320 512 258 57.4627 13.5830 43.3700 37.4970 50.5887 64.3366
1 320 512 512 43.3764 6.3018 36.7110 35.4880 40.1872 46.5656
4 320 512 512 59.2115 2.5791 57.1490 54.1130 57.9063 60.5167
5 320 512 512 85.3372 6.0892 79.6040 75.9130 82.2556 88.4188
r 320 512 512 41.4282 3.5131 37.6410 36.5410 39.6503 43.2061
1 320 4096 1025 177.1636 41.7452 155.0980 147.0350 154.4706 199.8566
