ver size count b avg std med min lower upper
4 576 10000 2501 452.7004 26.0713 427.6280 416.0540 437.2932 468.1075
5 576 10000 2501 426.6051 10.1871 419.3010 411.6430 420.5849 432.6253
r 576 10000 2501 256.4270 93.9096 164.9080 157.2090 200.9300 311.9240
1 576 10000 5002 290.2866 8.4889 281.4890 276.0700 285.2700 295.3033
4 576 10000 5002 674.9445 77.2390 599.7620 579.9520 629.2992 720.5899
5 576 10000 5002 621.3170 50.7370 581.5320 546.6190 591.3334 651.3006
r 576 10000 5002 165.3702 9.6924 155.3520 152.2610 159.6423 171.0980
1 576 10000 10000 296.5640 16.9164 281.3650 270.2050 286.5670 306.5610
4 576 10000 10000 902.4702 28.0769 883.6150 845.7320 885.8778 919.0626
5 576 10000 10000 1030.2019 65.7110 967.9040 921.5200 991.3692 1069.0346
r 576 10000 10000 176.2815 10.5998 165.7630 158.6600 170.0175 182.5456
1 576 65536 16385 1479.4668 50.5786 1447.1590 1392.5530 1446.4221 1512.5115
4 576 65536 16385 2611.6030 67.4070 2536.6770 2512.3610 2567.5638 2655.6422
5 576 65536 16385 2445.9440 52.5845 2413.7840 2346.6270 2411.5888 2480.2992
r 576 65536 16385 831.0057 79.5767 749.5760 732.8600 779.0156 882.9958
1 576 65536 32770 2518.5522 1158.9321 1392.5360 1350.5720 1761.3833 3275.7212
4 576 65536 32770 3208.7540 63.4022 3150.0390 3103.2130 3167.3312 3250.1768
5 576 65536 32770 3366.2239 41.6370 3336.7820 3279.0880 3339.0211 3393.4267
r 576 65536 32770 744.0692 6.5088 739.8100 730.3560 739.8168 748.3217
1 576 65536 65536 1458.6157 54.0550 1420.1160 1374.8100 1423.2997 1493.9316
4 576 65536 65536 4498.4260 84.1460 4433.0770 4368.8670 4443.4506 4553.4014
5 576 65536 65536 4844.2450 92.0367 4803.2520 4672.3000 4784.1144 4904.3756
r 576 65536 65536 755.1704 58.3168 722.4000 712.0350 717.0701 793.2708
1 576 524288 131073 12585.4427 271.8514 12326.0080 12154.0740 12384.0523 12786.8331
4 576 524288 131073 19041.1924 497.9590 18635.1360 18213.5850 18672.2992 19410.0856
5 576 524288 131073 17681.8970 276.3604 17580.8700 17241.0870 17477.1664 17886.6276
r 576 524288 131073 6723.0867 1255.7727 5262.5300 5028.7180 5792.7973 7653.3762
1 576 524288 262146 12594.6937 364.1236 12223.8600 12019.9500 12324.9472 12864.4403
4 576 524288 262146 24822.4557 553.5039 24427.3430 23947.1380 24412.4143 25232.4972
5 576 524288 262146 26173.1241 858.5619 25622.3450 24756.9650 25537.0926 26809.1557
r 576 524288 262146 5988.8761 716.5977 5218.5850 5019.2200 5458.0132 6519.7391
1 576 524288 524288 12817.3206 525.4029 12322.3500 11883.8150 12428.0967 13206.5445
4 576 524288 524288 34109.0681 337.0337 33850.8500 33588.0000 33859.3901 34358.7462
5 576 524288 524288 36738.2764 618.3474 36344.0800 35620.7700 36280.1983 37196.3546
r 576 524288 524288 5437.9583 347.6848 5032.2680 4971.4330 5180.3898 5695.5268
1 576 1000000 250001 24164.1892 216.4107 23947.1620 23845.0770 23974.4968 24353.8816
4 576 1000000 250001 35272.9492 442.4816 34927.9450 34618.0100 34885.0970 35660.8014
5 576 1000000 250001 33790.3388 816.6210 33540.5000 32503.4390 33074.5389 34506.1387
r 576 1000000 250001 12855.9718 2980.5839 9638.1680 9428.8420 10243.3748 15468.5688
1 576 1000000 500002 24223.1430 178.9616 24145.4020 23984.0500 24066.2762 24380.0098
4 576 1000000 500002 46491.8922 602.1048 46211.9620 45389.4590 45964.1241 47019.6603
5 576 1000000 500002 47822.7150 629.1680 47948.5950 46569.5470 47271.2250 48374.2050
r 576 1000000 500002 9564.0802 195.3896 9414.1700 9345.3660 9392.8136 9735.3468
1 576 1000000 1000000 24595.7164 405.0381 24317.2000 24188.8940 24240.6849 24950.7479
4 576 1000000 1000000 66062.8916 726.1286 65312.9260 64949.2870 65426.4118 66699.3714
5 576 1000000 1000000 69473.8100 376.3312 69215.1180 68852.8250 69143.9412 69803.6788
r 576 1000000 1000000 10996.0430 1181.0747 9698.2850 9343.0250 9960.7854 12031.3006
1 576 10000000 2500001 274224.1810 3924.1274 271769.0330 271141.6100 269783.6128 278664.7492
4 576 10000000 2500001 361495.9350 9600.4559 354283.8790 346512.8610 350631.9965 372359.8735
5 576 10000000 2500001 328717.4457 3739.7848 324727.6090 324020.6940 324485.4807 332949.4106
r 576 10000000 2500001 110164.9940 310.2024 110213.1170 109686.3620 109813.9670 110516.0210
1 576 10000000 5000002 274887.8150 5196.1255 268920.8080 268150.3090 269007.8455 280767.7845
4 576 10000000 5000002 468116.5150 4233.6980 462960.0090 462902.7790 463325.6347 472907.3953
5 576 10000000 5000002 495112.5500 6846.1224 495050.0200 483254.8830 487365.4332 502859.6668
r 576 10000000 5000002 110030.8090 1904.5608 108088.4700 107645.9610 107875.5955 112186.0225
1 576 10000000 10000000 275389.9210 4682.5959 272690.2350 269973.4100 270091.0649 280688.7771
4 576 10000000 10000000 705922.8790 4132.1683 703059.2640 699363.5990 701246.8904 710598.8676
5 576 10000000 10000000 757298.9157 6056.3106 757873.3690 747930.5990 750445.5551 764152.2762
r 576 10000000 10000000 110227.5613 1519.7293 109223.9170 108851.9810 108507.8258 111947.2969
