ver size count b avg std med min lower upper
1 576 2 1 57.2120 29.0339 27.5730 20.8490 44.1568 70.2672
4 576 2 1 52.4450 14.8559 36.1450 31.4340 45.7650 59.1250
5 576 2 1 261.5363 177.1236 78.0510 62.8630 181.8918 341.1808
r 576 2 1 59.9980 26.5429 32.0820 21.4430 48.0629 71.9331
1 576 100 26 72.3772 9.1309 63.0110 58.9200 68.0366 76.7177
4 576 100 26 115.5769 33.2375 78.1650 64.6600 99.7768 131.3770
5 576 100 26 130.6791 28.3680 102.9510 87.8270 117.1938 144.1644
r 576 100 26 83.3790 13.8155 69.5910 62.5890 76.8115 89.9465
1 576 100 52 68.1469 14.9057 53.6640 43.4590 61.0612 75.2327
4 576 100 52 74.4663 23.8455 55.2210 42.6820 63.1309 85.8017
5 576 100 52 233.5674 152.4718 72.7360 67.0020 161.0869 306.0478
r 576 100 52 68.7060 14.1875 54.8370 46.5220 61.9617 75.4503
1 576 100 100 47.8858 5.7419 41.7260 39.2910 45.1563 50.6154
4 576 100 100 49.5274 9.3489 39.4620 37.7540 45.0832 53.9716
5 576 100 100 83.7456 18.6319 64.2730 62.2220 74.8886 92.6026
r 576 100 100 44.0116 2.2963 42.4700 40.1350 42.9200 45.1032
1 576 512 129 75.8260 20.6007 55.5260 47.7550 65.4006 86.2514
4 576 512 129 93.4149 19.1945 76.3360 61.8210 83.7012 103.1287
5 576 512 129 149.3902 50.7401 95.5120 86.3590 123.7122 175.0682
r 576 512 129 76.7131 12.9392 64.8370 55.3710 70.1649 83.2612
1 576 512 258 70.6509 22.0604 51.4870 39.0610 59.4868 81.8150
4 576 512 258 110.0481 35.0962 73.5980 63.3130 92.2869 127.8092
5 576 512 258 573.7858 506.3991 111.8550 78.5690 317.5125 830.0591
r 576 512 258 87.6583 21.5414 66.8520 53.7690 76.7568 98.5597
1 576 512 512 192.8488 134.9738 42.5270 39.6550 124.5426 261.1550
4 576 512 512 120.0887 47.7588 70.6220 59.4550 95.9194 144.2580
5 576 512 512 297.1428 171.3412 107.8800 83.9690 210.4322 383.8534
r 576 512 512 250.4717 176.5847 64.0880 40.0280 161.1075 339.8359
1 576 4096 1025 210.3310 41.5784 163.8990 159.3370 187.7287 232.9333
4 576 4096 1025 367.4911 170.7297 195.5850 184.2300 274.6813 460.3008
5 576 4096 1025 240.3905 61.7078 203.0850 186.7170 206.8458 273.9353
r 576 4096 1025 568.2930 434.7085 110.9600 100.5310 331.9828 804.6032
1 576 4096 2050 236.9064 78.8095 155.1740 150.3340 194.0650 279.7477
4 576 4096 2050 365.2119 115.0463 249.1440 237.2720 302.6720 427.7518
5 576 4096 2050 440.4476 135.1839 293.3140 283.3160 366.9608 513.9344
r 576 4096 2050 125.0190 24.7876 99.5700 88.7080 111.5443 138.4937
1 576 4096 4096 187.5161 50.6164 154.1580 149.4430 160.0007 215.0315
4 576 4096 4096 400.3257 26.6584 374.2970 361.8400 385.8340 414.8174
5 576 4096 4096 420.7787 18.4786 403.0200 387.4370 410.7336 430.8238
r 576 4096 4096 105.2758 11.2323 95.3390 84.1520 99.1698 111.3817
1 576 10000 2501 290.0222 9.6036 280.7880 275.4120 284.3468 295.6976
