ver size count b avg std med min lower upper
2 36 100 10 136.1620 6.2143 129.6580 126.2280 133.0172 139.3068
r 36 100 10 26.6260 1.9794 24.9550 22.4090 25.6243 27.6277
2 36 100 100 116.0746 4.7002 111.8040 111.0510 113.6960 118.4532
r 36 100 100 27.7480 2.9428 24.5830 23.9840 26.2588 29.2372
2 36 512 10 213.2800 5.9217 207.7520 204.2690 210.0609 216.4991
r 36 512 10 36.5363 7.7618 28.6090 25.8830 32.3170 40.7557
2 36 512 100 145.0300 14.5877 129.3010 126.7850 137.1000 152.9600
r 36 512 100 35.1958 7.4600 26.5810 23.9300 31.1406 39.2511
2 36 4096 10 1270.1006 405.4626 836.3690 831.9700 1030.4876 1509.7137
r 36 4096 10 70.3415 9.1739 65.2860 52.0380 64.9201 75.7630
2 36 4096 100 217.6417 10.0538 208.3060 199.7480 211.7003 223.5831
r 36 4096 100 114.4463 78.6436 45.2940 42.7860 67.9709 160.9217
2 36 4096 1000 210.3949 7.1948 203.8160 201.4740 206.1431 214.6467
r 36 4096 1000 55.9218 12.5745 42.6000 41.0460 48.4908 63.3529
2 36 10000 10 2900.4001 903.2841 1846.6240 1823.8390 2310.2545 3490.5457
r 36 10000 10 136.7403 7.7298 129.2890 124.3540 131.6902 141.7905
2 36 10000 100 399.1263 69.1367 325.6580 320.1990 353.9571 444.2956
r 36 10000 100 82.2918 6.1490 76.8050 70.3010 78.2744 86.3091
2 36 10000 1000 231.3910 2.5633 228.6590 228.1050 229.7163 233.0657
r 36 10000 1000 86.6950 8.0944 77.7540 76.1330 81.4067 91.9833
2 36 10000 10000 937.4470 17.9330 918.4340 911.3440 925.7308 949.1632
r 36 10000 10000 106.7912 6.3406 103.0910 92.4960 102.6487 110.9337
2 36 65536 10 11268.0970 214.7613 11084.1300 10923.4090 11108.9996 11427.1944
r 36 65536 10 456.7396 19.8563 437.0390 427.6680 442.0298 471.4493
2 36 65536 100 1434.3766 44.5758 1388.1630 1378.9820 1401.3543 1467.3988
r 36 65536 100 469.6030 37.9365 434.7010 413.4080 441.4992 497.7068
2 36 65536 1000 481.2436 10.0737 468.9400 466.8050 473.7809 488.7062
r 36 65536 1000 401.6190 13.1115 393.8720 373.2300 391.9059 411.3321
2 36 65536 10000 1181.7069 13.7708 1174.9650 1152.1280 1171.5053 1191.9084
r 36 65536 10000 398.4383 7.5403 395.5990 380.7610 392.8523 404.0242
2 36 524288 10 89544.1562 2151.7128 89218.9990 85443.9830 87658.0968 91430.2156
r 36 524288 10 1843.1204 30.9683 1827.4600 1785.7380 1815.9754 1870.2654
2 36 524288 100 9772.0782 181.6042 9679.9410 9471.0940 9612.8951 9931.2613
r 36 524288 100 1816.0644 24.6489 1810.2500 1764.9620 1794.4587 1837.6701
2 36 524288 1000 2491.7058 18.6770 2495.9390 2465.3310 2475.3347 2508.0769
r 36 524288 1000 1803.2948 19.5692 1783.4390 1776.3820 1786.1416 1820.4480
2 36 524288 10000 3139.1912 39.4894 3120.1890 3084.6030 3104.5772 3173.8052
r 36 524288 10000 1805.0152 8.3160 1800.8200 1790.9890 1797.7259 1812.3045
2 36 524288 100000 6201.1394 101.0139 6190.3920 6041.2010 6112.5968 6289.6820
r 36 524288 100000 1810.5050 19.4002 1786.6300 1784.3860 1793.4999 1827.5101
2 36 1000000 10 170752.3657 2098.4789 169406.7140 168713.5060 168377.7133 173127.0181
r 36 1000000 10 3174.8300 70.6892 3122.5870 3064.0980 3094.8376 3254.8224
2 36 1000000 100 18735.5290 241.5460 18848.6790 18375.2730 18462.1940 19008.8640
r 36 1000000 100 6476.5060 2748.4289 3146.5400 3074.6080 3366.3660 9586.6460
2 36 1000000 1000 4536.7520 27.3362 4509.5960 4497.9660 4505.8182 4567.6858
r 36 1000000 1000 3102.3403 15.6285 3101.8310 3075.2950 3084.6551 3120.0256
2 36 1000000 10000 5450.8893 217.7801 5204.6260 5193.0570 5204.4479 5697.3307
r 36 1000000 10000 3165.5010 42.5576 3160.8420 3092.5290 3117.3426 3213.6594
2 36 1000000 100000 7361.8910 202.5185 7317.2410 7013.9720 7132.7197 7591.0623
r 36 1000000 100000 3016.7223 29.9484 3006.2860 2970.3960 2982.8326 3050.6121
2 36 1000000 1000000 39203.1343 164.2728 39104.6490 38940.7750 39017.2422 39389.0265
r 36 1000000 1000000 2999.9427 4.5519 2996.7390 2996.7090 2994.7917 3005.0936
2 36 10000000 10 1750657.4090 0.0000 1750657.4090 1750657.4090 1750657.4090 1750657.4090
r 36 10000000 10 47919.3000 0.0000 47919.3000 47919.3000 47919.3000 47919.3000
2 36 10000000 100 192765.5100 0.0000 192765.5100 192765.5100 192765.5100 192765.5100
r 36 10000000 100 48240.3990 0.0000 48240.3990 48240.3990 48240.3990 48240.3990
2 36 10000000 1000 47308.6930 0.0000 47308.6930 47308.6930 47308.6930 47308.6930
r 36 10000000 1000 54159.9790 0.0000 54159.9790 54159.9790 54159.9790 54159.9790
2 36 10000000 10000 49754.0390 0.0000 49754.0390 49754.0390 49754.0390 49754.0390
r 36 10000000 10000 49317.9700 0.0000 49317.9700 49317.9700 49317.9700 49317.9700
2 36 10000000 100000 68133.6160 0.0000 68133.6160 68133.6160 68133.6160 68133.6160
r 36 10000000 100000 61335.4750 0.0000 61335.4750 61335.4750 61335.4750 61335.4750
2 36 10000000 1000000 147965.1190 0.0000 147965.1190 147965.1190 147965.1190 147965.1190
r 36 10000000 1000000 59378.9940 0.0000 59378.9940 59378.9940 59378.9940 59378.9940
2 36 10000000 10000000 796579.3300 0.0000 796579.3300 796579.3300 796579.3300 796579.3300
r 36 10000000 10000000 60919.5560 0.0000 60919.5560 60919.5560 60919.5560 60919.5560
