ver size count b avg std med min lower upper
2 32 100 10 445.6523 183.9746 284.4800 185.8790 352.5483 538.7563
r 32 100 10 68.3027 18.5240 48.4120 43.7750 58.9283 77.6771
2 32 100 100 147.1536 30.6741 118.4170 96.3060 131.6303 162.6769
r 32 100 100 40.2491 8.3711 32.6750 26.1070 36.0128 44.4855
2 32 512 10 516.9921 46.4326 486.1560 431.0680 491.7510 542.2331
r 32 512 10 51.0670 14.6907 37.0490 17.2410 43.0810 59.0530
2 32 512 100 164.0230 26.1193 140.6090 123.3590 149.8244 178.2216
r 32 512 100 44.5560 15.8374 31.4370 19.5410 35.9467 53.1653
2 32 4096 10 3782.4120 37.7344 3786.0170 3699.5740 3760.1124 3804.7116
r 32 4096 10 97.9152 30.6916 77.4390 45.0720 79.7776 116.0528
2 32 4096 100 553.5750 41.6733 515.5690 472.1580 528.9477 578.2023
r 32 4096 100 107.3137 48.6633 54.7140 46.5980 78.5556 136.0719
2 32 4096 1000 302.1410 28.2994 282.2580 253.3890 285.4171 318.8649
r 32 4096 1000 53.9343 5.3189 47.3840 46.4380 50.7910 57.0775
2 32 10000 10 8875.3760 78.3225 8859.0020 8755.0280 8824.2053 8926.5467
r 32 10000 10 142.5410 20.2940 126.6940 108.5880 129.2823 155.7997
2 32 10000 100 1114.3951 82.5764 1061.8690 928.3280 1060.4452 1168.3450
r 32 10000 100 141.9166 17.0818 128.4520 107.9950 130.7565 153.0766
2 32 10000 1000 385.2133 20.0459 369.1300 353.4940 372.1167 398.3100
r 32 10000 1000 102.9520 7.5509 97.2270 88.9110 98.0187 107.8853
2 32 10000 10000 1446.1648 23.5707 1429.5050 1410.5340 1430.7652 1461.5643
r 32 10000 10000 127.3617 6.1974 125.6500 116.4410 123.3127 131.4106
2 32 65536 10 67105.0590 13791.4310 50981.6380 50329.9140 56888.2240 77321.8940
r 32 65536 10 756.9124 160.5686 586.9110 522.7020 637.9616 875.8633
2 32 65536 100 6260.0061 235.9264 6287.9590 5768.2280 6085.2294 6434.7829
r 32 65536 100 555.4941 33.1206 539.7730 499.1860 530.9581 580.0302
2 32 65536 1000 2250.9689 272.5466 1988.2020 1811.1520 2049.0635 2452.8742
r 32 65536 1000 693.9994 143.9658 543.2080 505.2550 587.3481 800.6508
2 32 65536 10000 1914.8397 25.7452 1896.4340 1866.6970 1895.7674 1933.9120
r 32 65536 10000 549.6451 30.5764 534.3540 482.6410 526.9939 572.2964
2 32 524288 10 417719.2226 17687.2174 400803.5110 392938.0450 402215.6930 433222.7522
r 32 524288 10 5609.0880 311.2526 5391.8760 5035.2070 5336.2631 5881.9129
2 32 524288 100 57987.6020 1960.0717 58143.4910 54615.8230 56269.5234 59705.6806
r 32 524288 100 5203.7038 322.5244 4953.1660 4674.8750 4920.9987 5486.4089
2 32 524288 1000 12729.5374 204.1286 12702.0500 12401.9130 12550.6108 12908.4640
r 32 524288 1000 4892.4280 119.4750 4876.6720 4631.3800 4787.7036 4997.1524
2 32 524288 10000 5607.9680 167.0406 5431.5680 5377.2190 5461.5504 5754.3856
r 32 524288 10000 4586.3924 48.1381 4567.6210 4490.9770 4544.1975 4628.5873
2 32 524288 100000 12521.2880 27.4546 12493.0010 12481.3820 12497.2229 12545.3531
r 32 524288 100000 4733.0030 80.3900 4643.7610 4637.6640 4662.5381 4803.4679
2 32 1000000 10 745348.6517 7655.1685 749707.6940 734587.0870 736686.0130 754011.2904
