ver size count b avg std med min lower upper
2 320 100 10 3584.2536 1141.4855 3166.8380 1674.7440 3006.5822 4161.9250
r 320 100 10 131.1933 32.8128 97.7850 83.9040 114.5878 147.7989
2 320 100 100 1370.0546 228.6244 1173.7260 1020.3890 1254.3547 1485.7545
r 320 100 100 107.8955 24.9976 83.7620 72.7530 95.2450 120.5460
2 320 512 10 1270.1480 168.6698 1090.3870 1032.1160 1178.4581 1361.8379
r 320 512 10 95.7368 20.2840 74.5790 66.6080 84.7103 106.7633
2 320 512 100 1048.8728 29.8932 1021.5880 986.4780 1032.6227 1065.1230
r 320 512 100 80.9788 13.2557 69.8540 55.7860 73.7730 88.1847
2 320 4096 10 4125.1072 1173.8039 2869.9620 2595.1970 3431.4334 4818.7810
r 320 4096 10 184.8300 47.8992 132.7950 127.3280 156.5234 213.1366
2 320 4096 100 1308.6490 116.5486 1190.7440 1161.6360 1239.7732 1377.5248
r 320 4096 100 141.8724 17.1117 126.5770 112.0220 131.7600 151.9848
2 320 4096 1000 1870.0662 28.4300 1847.7950 1819.2900 1853.2651 1886.8673
r 320 4096 1000 129.5477 13.1089 117.9120 108.7260 121.8009 137.2946
2 320 10000 10 5520.2992 354.1408 5144.9720 5062.0690 5288.9272 5751.6712
r 320 10000 10 201.2930 25.5430 176.4810 164.4730 184.6049 217.9811
2 320 10000 100 1808.5841 299.7561 1537.2200 1476.4850 1612.7435 2004.4248
r 320 10000 100 185.0770 9.8149 175.8410 169.9030 178.6646 191.4894
2 320 10000 1000 1991.0786 46.7648 1965.7960 1913.7730 1960.5256 2021.6315
r 320 10000 1000 184.4352 10.0709 174.8410 170.1700 177.8555 191.0149
2 320 10000 10000 12644.4411 80.9291 12573.4440 12498.3710 12591.5675 12697.3148
r 320 10000 10000 188.1720 11.5624 178.7840 166.7980 180.6179 195.7261
2 320 65536 10 33870.8620 3902.2017 31930.4350 27812.6520 30980.0705 36761.6535
r 320 65536 10 767.3340 54.5696 712.0380 693.5000 726.9083 807.7597
2 320 65536 100 5633.4656 728.2980 4855.9170 4535.4560 5093.9348 6172.9963
r 320 65536 100 714.3480 12.9503 703.0530 695.2430 704.7543 723.9417
2 320 65536 1000 3421.8993 436.1562 3019.8520 2721.8630 3098.7902 3745.0083
r 320 65536 1000 778.7459 71.1458 699.1380 684.1000 726.0403 831.4514
2 320 65536 10000 16092.3919 1921.9262 13977.2050 13674.0450 14668.6090 17516.1747
r 320 65536 10000 830.5067 123.4256 686.2470 684.1180 739.0717 921.9417
2 320 524288 10 242312.2440 7139.3780 237012.7090 233925.3830 236054.3032 248570.1848
r 320 524288 10 7465.1520 1086.1438 6805.8540 5849.3090 6513.1050 8417.1990
2 320 524288 100 39347.0028 1729.8247 37768.1350 36450.5510 37830.7446 40863.2610
r 320 524288 100 6330.9560 662.8458 5685.5760 5353.0160 5749.9460 6911.9660
2 320 524288 1000 15211.8246 5670.1640 9223.3870 9038.5610 10241.7067 20181.9425
r 320 524288 1000 6667.8504 1170.1719 5846.1230 4932.6080 5642.1495 7693.5513
2 320 524288 10000 20445.0504 1969.3629 18447.7070 18086.3790 18718.8277 22171.2731
r 320 524288 10000 5492.3220 600.7452 5103.1300 4905.4320 4965.7456 6018.8984
2 320 524288 100000 94915.5638 522.7662 94407.1820 94077.9750 94457.3390 95373.7886
r 320 524288 100000 8865.0912 2622.2425 6112.9310 5950.3770 6566.5943 11163.5881
2 320 1000000 10 451454.3170 10469.4519 444696.6470 434626.8940 439607.0169 463301.6171
r 320 1000000 10 11120.0770 653.5565 10412.1260 10236.7800 10380.5082 11859.6458
2 320 1000000 100 69383.8753 1010.4816 69142.4700 67718.9920 68240.4078 70527.3429
r 320 1000000 100 9740.5063 330.2445 9409.9730 9303.9070 9366.7995 10114.2132
2 320 1000000 1000 15170.3547 563.9952 14780.5990 14729.0790 14532.1341 15808.5753
r 320 1000000 1000 9364.8217 140.4348 9358.0910 9196.2890 9205.9047 9523.7386
2 320 1000000 10000 23015.5203 433.6027 22735.0170 22333.1120 22524.8527 23506.1879
r 320 1000000 10000 9440.3740 99.1745 9401.6230 9290.6940 9328.1474 9552.6006
2 320 1000000 100000 102510.4590 501.4459 102441.1260 101644.7010 101943.0195 103077.8985
r 320 1000000 100000 9994.0630 189.2656 9981.6330 9666.5400 9779.8888 10208.2372
2 320 1000000 1000000 849414.9077 3569.0610 845318.2890 845263.1930 845376.1349 853453.6804
r 320 1000000 1000000 10011.9293 64.8824 10009.6720 9899.5780 9938.5079 10085.3507
2 320 10000000 10 5089568.0610 0.0000 5089568.0610 5089568.0610 5089568.0610 5089568.0610
r 320 10000000 10 111888.9260 0.0000 111888.9260 111888.9260 111888.9260 111888.9260
2 320 10000000 100 623404.9030 0.0000 623404.9030 623404.9030 623404.9030 623404.9030
r 320 10000000 100 102193.8180 0.0000 102193.8180 102193.8180 102193.8180 102193.8180
2 320 10000000 1000 124334.8460 0.0000 124334.8460 124334.8460 124334.8460 124334.8460
r 320 10000000 1000 103433.5030 0.0000 103433.5030 103433.5030 103433.5030 103433.5030
2 320 10000000 10000 84861.8490 0.0000 84861.8490 84861.8490 84861.8490 84861.8490
r 320 10000000 10000 111237.8990 0.0000 111237.8990 111237.8990 111237.8990 111237.8990
2 320 10000000 100000 165571.7400 0.0000 165571.7400 165571.7400 165571.7400 165571.7400
r 320 10000000 100000 107767.6340 0.0000 107767.6340 107767.6340 107767.6340 107767.6340
2 320 10000000 1000000 1011196.3800 0.0000 1011196.3800 1011196.3800 1011196.3800 1011196.3800
r 320 10000000 1000000 116640.2000 0.0000 116640.2000 116640.2000 116640.2000 116640.2000
2 320 10000000 10000000 11031025.9520 0.0000 11031025.9520 11031025.9520 11031025.9520 11031025.9520
r 320 10000000 10000000 113894.2180 0.0000 113894.2180 113894.2180 113894.2180 113894.2180
