ver size count b avg std med min lower upper
2 576 100 10 5887.1901 1670.3112 5710.2630 2855.1010 5041.8960 6732.4842
r 576 100 10 158.4571 63.8889 102.4590 90.8190 126.1248 190.7893
2 576 100 100 2809.4741 529.9034 2258.0960 1974.0430 2541.3060 3077.6422
r 576 100 100 138.5738 64.6971 81.0800 72.7830 105.8325 171.3151
2 576 512 10 2674.9610 824.4086 1764.6180 1742.0830 2226.8074 3123.1146
r 576 512 10 130.6268 49.8963 96.2920 84.2830 103.5028 157.7507
2 576 512 100 1863.8125 34.3340 1838.3980 1803.1950 1845.1484 1882.4767
r 576 512 100 100.0000 13.2155 87.9130 80.2840 92.8160 107.1840
2 576 4096 10 3947.7577 793.7260 3049.7510 2936.9990 3478.6956 4416.8198
r 576 4096 10 213.1601 72.1092 146.8620 124.1960 170.5462 255.7739
2 576 4096 100 2482.0776 722.2668 2040.3010 2017.8280 2055.2452 2908.9100
r 576 4096 100 163.5196 33.5303 135.5640 113.0360 143.7045 183.3348
2 576 4096 1000 3707.2740 330.6523 3402.2310 3370.8560 3511.8710 3902.6770
r 576 4096 1000 129.6089 14.3030 118.3190 104.6850 121.1564 138.0615
2 576 10000 10 9068.8078 2938.3475 5978.2540 5260.1420 7149.0874 10988.5282
r 576 10000 10 244.5844 52.6448 186.7760 179.1530 210.1898 278.9790
2 576 10000 100 2748.1922 286.3576 2470.0820 2346.2580 2561.1053 2935.2792
r 576 10000 100 210.4967 23.0074 188.8630 175.7650 195.4651 225.5282
2 576 10000 1000 3645.7123 203.0833 3418.7740 3371.4860 3513.0313 3778.3934
r 576 10000 1000 189.9780 8.2894 185.9890 175.1990 184.5623 195.3937
2 576 10000 10000 23119.7172 217.1998 22973.9840 22712.2660 22977.8134 23261.6211
r 576 10000 10000 270.9152 82.8418 187.8570 178.7910 216.7919 325.0385
2 576 65536 10 49300.6150 15995.1688 34898.7770 25521.4220 37451.2281 61150.0019
r 576 65536 10 816.7216 86.7959 720.1720 708.8270 752.4223 881.0208
2 576 65536 100 9756.9424 3948.3722 4934.9500 4808.0970 6831.9474 12681.9375
r 576 65536 100 725.9950 15.9360 711.3600 698.3820 714.1894 737.8006
2 576 65536 1000 8707.6039 3385.1583 5489.3980 4130.4650 6199.8435 11215.3643
r 576 65536 1000 802.2807 80.3585 715.6280 696.7120 742.7503 861.8111
2 576 65536 10000 24833.1399 205.5560 24727.4810 24430.7030 24680.8618 24985.4179
r 576 65536 10000 1050.6473 529.0079 707.0050 692.1580 658.7528 1442.5418
2 576 524288 10 227183.9152 3983.9598 223677.2460 222152.2040 223691.8204 230676.0100
r 576 524288 10 6463.0812 924.3108 5917.1040 4988.3390 5652.8870 7273.2754
2 576 524288 100 38881.6760 6283.7241 32905.4380 29098.4240 33373.7490 44389.6030
r 576 524288 100 6473.1154 1118.0916 5376.4510 4992.3050 5493.0649 7453.1659
2 576 524288 1000 11428.5540 643.2531 10733.6420 10513.3780 10864.7178 11992.3902
r 576 524288 1000 5601.4312 634.2320 5056.4480 5000.6740 5045.5023 6157.3601
2 576 524288 10000 31025.2792 333.4981 30762.6250 30436.0710 30732.9552 31317.6032
r 576 524288 10000 5314.5432 277.9336 5134.3510 5005.2730 5070.9237 5558.1627
2 576 524288 100000 170123.7826 2394.1234 169599.4900 166513.1370 168025.2409 172222.3243
r 576 524288 100000 6016.6354 440.5414 6116.5540 5259.6120 5630.4839 6402.7869
2 576 1000000 10 446367.2327 15200.1896 440469.2780 423417.6980 429166.5988 463567.8665
