ver size count b avg std med min lower upper
2 20 100 10 81.9991 1.9521 80.6940 78.6230 81.0112 82.9870
r 20 100 10 19.9885 8.1151 11.3160 10.3740 15.8817 24.0953
2 20 100 100 62.2807 1.9847 60.3650 59.4980 61.2763 63.2852
r 20 100 100 14.0980 3.2002 10.6740 10.0910 12.4785 15.7175
2 20 512 10 176.8000 17.7713 157.6530 155.2160 167.1394 186.4606
r 20 512 10 16.4029 5.2563 13.2860 12.7920 13.5456 19.2603
2 20 512 100 78.1169 1.4469 76.8030 75.7340 77.3304 78.9035
r 20 512 100 16.1355 2.5033 13.4170 13.0960 14.7747 17.4964
2 20 4096 10 782.9094 12.9500 773.9980 763.4330 775.2564 790.5623
r 20 4096 10 65.9121 12.8041 52.1320 47.6690 58.3454 73.4788
2 20 4096 100 156.6386 4.2953 152.3910 150.8550 154.1003 159.1770
r 20 4096 100 38.5971 1.7283 37.3920 36.8130 37.5757 39.6185
2 20 4096 1000 123.9657 3.8744 121.0240 118.7160 121.6761 126.2554
r 20 4096 1000 45.4075 7.9192 37.2390 36.2290 40.7275 50.0874
2 20 10000 10 2729.1240 851.3664 1782.2380 1727.0680 2172.8980 3285.3500
r 20 10000 10 1634.8930 1388.7596 134.7270 118.7390 727.5700 2542.2160
2 20 10000 100 340.0750 64.8908 273.2990 264.9070 297.6797 382.4703
r 20 10000 100 589.3110 484.4385 77.8190 66.2990 272.8112 905.8108
2 20 10000 1000 183.0156 30.5813 152.6620 147.3150 163.0358 202.9953
r 20 10000 1000 137.6612 162.2066 70.3240 68.3480 31.6862 243.6362
2 20 10000 10000 484.5064 7.2277 477.1550 474.7260 479.7843 489.2285
r 20 10000 10000 79.9917 10.1735 70.1910 64.2730 73.3450 86.6384
2 20 65536 10 11361.9026 225.0045 11284.1790 10870.2200 11195.2169 11528.5883
r 20 65536 10 444.1323 21.7964 427.1000 414.3420 427.9853 460.2793
2 20 65536 100 1359.5899 23.5006 1345.3650 1319.1290 1342.1804 1376.9994
r 20 65536 100 423.0810 18.4550 403.5800 397.1560 409.4093 436.7527
2 20 65536 1000 395.8263 7.3972 387.8680 384.5630 390.3464 401.3062
r 20 65536 1000 307.1044 10.4616 303.6650 290.2610 299.3544 314.8545
2 20 65536 10000 723.9031 12.4923 716.5170 703.5860 714.6487 733.1575
r 20 65536 10000 345.8070 42.4293 299.5180 295.4870 314.3749 377.2391
2 20 524288 10 94847.5378 4964.1358 94925.4000 86266.5010 90496.2810 99198.7946
r 20 524288 10 1888.7952 321.3025 1725.3310 1688.8360 1607.1612 2170.4292
2 20 524288 100 10489.4998 138.9026 10406.1690 10257.3480 10367.7463 10611.2533
r 20 524288 100 1760.7486 62.9230 1696.2630 1671.9770 1705.5941 1815.9031
2 20 524288 1000 2455.9174 42.9466 2434.7570 2388.6740 2418.2730 2493.5618
r 20 524288 1000 1710.5612 7.2368 1705.4110 1699.2060 1704.2179 1716.9045
2 20 524288 10000 2758.1392 27.2106 2742.7450 2706.4980 2734.2881 2781.9903
r 20 524288 10000 1707.5114 6.6762 1706.6000 1692.8950 1701.6595 1713.3633
2 20 524288 100000 3854.0200 93.5238 3778.4860 3742.4210 3772.0428 3935.9972
r 20 524288 100000 1713.2854 25.2440 1688.3530 1675.0300 1691.1580 1735.4128
2 20 1000000 10 180911.7740 1922.0952 182205.2220 178168.0040 178736.7185 183086.8295
r 20 1000000 10 3968.6770 805.5804 2982.0600 2982.0330 3057.0769 4880.2771
2 20 1000000 100 19682.6167 37.7402 19666.6260 19627.8950 19639.9096 19725.3237
r 20 1000000 100 3124.4830 52.2939 3063.2360 3057.7540 3065.3069 3183.6591
2 20 1000000 1000 4433.4070 24.4801 4404.1640 4402.7040 4405.7051 4461.1089
r 20 1000000 1000 3058.9010 55.2840 2996.8310 2992.9230 2996.3413 3121.4607
2 20 1000000 10000 4858.8103 71.5624 4846.9850 4737.7140 4777.8299 4939.7908
r 20 1000000 10000 3033.1603 9.3047 3027.9580 3025.2940 3022.6310 3043.6896
2 20 1000000 100000 5151.4517 380.4734 4885.1120 4869.3240 4720.9054 5581.9979
r 20 1000000 100000 2964.3623 23.6985 2954.7770 2924.7390 2937.5450 2991.1797
2 20 1000000 1000000 21935.0703 24.7650 21920.0000 21908.5310 21907.0461 21963.0945
r 20 1000000 1000000 2942.3860 11.0638 2940.8600 2923.2990 2929.8661 2954.9059
2 20 10000000 10 1842222.6210 0.0000 1842222.6210 1842222.6210 1842222.6210 1842222.6210
r 20 10000000 10 47395.7440 0.0000 47395.7440 47395.7440 47395.7440 47395.7440
2 20 10000000 100 204740.5420 0.0000 204740.5420 204740.5420 204740.5420 204740.5420
r 20 10000000 100 46334.0810 0.0000 46334.0810 46334.0810 46334.0810 46334.0810
2 20 10000000 1000 47119.3660 0.0000 47119.3660 47119.3660 47119.3660 47119.3660
r 20 10000000 1000 46500.7240 0.0000 46500.7240 46500.7240 46500.7240 46500.7240
2 20 10000000 10000 50830.8360 0.0000 50830.8360 50830.8360 50830.8360 50830.8360
r 20 10000000 10000 46878.6950 0.0000 46878.6950 46878.6950 46878.6950 46878.6950
2 20 10000000 100000 56899.5440 0.0000 56899.5440 56899.5440 56899.5440 56899.5440
r 20 10000000 100000 56070.5970 0.0000 56070.5970 56070.5970 56070.5970 56070.5970
2 20 10000000 1000000 88084.3960 0.0000 88084.3960 88084.3960 88084.3960 88084.3960
r 20 10000000 1000000 56584.8250 0.0000 56584.8250 56584.8250 56584.8250 56584.8250
