ver size count b avg std med min lower upper
2 640 100 10 6756.9630 1893.0664 6390.3250 3512.8600 5798.9392 7714.9868
r 640 100 10 123.2316 17.5681 106.3330 97.8260 114.3409 132.1223
2 640 100 100 3304.0854 520.9023 2779.1110 2417.9560 3040.4724 3567.6984
r 640 100 100 114.0409 29.6442 87.6690 71.7120 99.0388 129.0429
2 640 512 10 2972.8020 613.6640 2293.4040 2242.3690 2639.2104 3306.3936
r 640 512 10 104.4783 8.2829 99.4010 83.2740 99.9757 108.9809
2 640 512 100 2541.0913 79.2205 2470.1720 2403.4050 2498.0266 2584.1560
r 640 512 100 99.0188 10.7497 91.5140 76.3100 93.1752 104.8624
2 640 4096 10 6379.6679 1159.7850 5153.6830 5084.7420 5694.2788 7065.0570
r 640 4096 10 203.1870 59.6777 136.5010 124.0240 167.9197 238.4543
2 640 4096 100 2993.4904 105.6375 2893.1940 2807.0990 2931.0626 3055.9181
r 640 4096 100 186.3349 45.2434 148.1970 114.8010 159.5978 213.0721
2 640 4096 1000 5716.5275 761.9852 4960.5020 4886.9150 5266.2231 6166.8320
r 640 4096 1000 163.2270 25.7849 138.8240 122.9380 147.9891 178.4649
2 640 10000 10 23031.2931 8968.9506 13844.7810 9989.5670 17171.5787 28891.0075
r 640 10000 10 321.1169 84.7409 236.7630 215.1230 265.7528 376.4809
2 640 10000 100 3573.2101 160.3739 3492.2430 3298.3870 3468.4325 3677.9877
r 640 10000 100 239.8204 12.2262 234.4620 219.4770 231.8326 247.8083
2 640 10000 1000 5133.7947 169.2672 4970.8100 4911.7650 5023.2068 5244.3826
r 640 10000 1000 260.1690 37.5940 221.8960 208.3100 235.6076 284.7304
2 640 10000 10000 35293.3560 4813.6361 29835.3590 29753.9430 32148.4471 38438.2649
r 640 10000 10000 242.5401 18.7457 221.7850 211.7580 230.2929 254.7873
2 640 65536 10 67995.8771 13023.6508 52869.5260 49681.3160 58347.8216 77643.9327
r 640 65536 10 933.6939 38.6117 915.6090 849.2800 905.0899 962.2978
2 640 65536 100 9177.6373 919.5423 8482.6620 8017.8440 8496.4308 9858.8438
r 640 65536 100 864.5920 17.0824 845.1690 841.7950 851.9372 877.2468
2 640 65536 1000 9174.8994 1815.3732 7127.7670 6494.2380 7830.0521 10519.7467
r 640 65536 1000 1035.4569 177.4689 846.6760 839.0730 903.9860 1166.9277
2 640 65536 10000 34653.8791 1893.2391 32725.2160 32612.0260 33251.3480 36056.4103
r 640 65536 10000 893.9191 44.3115 841.3580 828.3360 861.0927 926.7456
2 640 524288 10 393982.7970 11165.0941 386842.5670 377577.5390 384196.1605 403769.4335
r 640 524288 10 9102.4680 619.5753 8831.5800 8131.6170 8559.3863 9645.5497
2 640 524288 100 59410.5270 1618.6272 58799.2920 56705.7440 57991.7377 60829.3163
r 640 524288 100 10202.3130 2110.6072 8915.9110 7873.9380 8352.2843 12052.3417
2 640 524288 1000 20517.1926 3234.1764 16877.4710 16680.2260 17682.3120 23352.0732
r 640 524288 1000 7888.3834 129.7898 7810.0780 7790.2040 7774.6176 8002.1492
2 640 524288 10000 43338.3640 1194.7634 41963.5970 41876.8260 42291.1077 44385.6203
r 640 524288 10000 7788.9494 87.1021 7703.7140 7666.4450 7712.6010 7865.2978
2 640 524288 100000 234479.1790 4895.6227 229730.5730 227820.5000 230187.9765 238770.3815
r 640 524288 100000 9049.9960 1006.3775 7857.1320 7736.9770 8167.8672 9932.1248
2 640 1000000 10 713961.4497 5442.7877 707841.6000 707547.7610 707802.3556 720120.5437
r 640 1000000 10 16897.1857 851.3367 16442.0950 15830.0470 15933.8075 17860.5638
2 640 1000000 100 107592.3820 2410.9586 106430.3510 103581.4160 104864.1255 110320.6385
r 640 1000000 100 15603.0473 163.9220 15495.2350 15453.0680 15417.5521 15788.5426
2 640 1000000 1000 27708.5000 596.3690 27023.4850 26935.3750 27033.6450 28383.3550
r 640 1000000 1000 15876.3960 225.9324 15618.8680 15581.7510 15620.7294 16132.0626
2 640 1000000 10000 47710.5187 780.5811 46892.2800 46715.0150 46827.2080 48593.8294
r 640 1000000 10000 15510.3140 81.4795 15463.6030 15415.4080 15418.1112 15602.5168
2 640 1000000 100000 241737.0503 1082.9418 240539.5710 240423.3370 240511.5864 242962.5143
r 640 1000000 100000 15777.8570 252.5082 15490.4390 15483.0050 15492.1170 16063.5970
2 640 1000000 1000000 1920975.2213 6276.9947 1922464.9640 1911342.6660 1913872.1332 1928078.3095
r 640 1000000 1000000 16527.3167 1039.4398 15559.0550 15169.7380 15351.0798 17703.5536
2 640 10000000 10 7171669.2450 0.0000 7171669.2450 7171669.2450 7171669.2450 7171669.2450
r 640 10000000 10 166982.5770 0.0000 166982.5770 166982.5770 166982.5770 166982.5770
2 640 10000000 100 882604.4890 0.0000 882604.4890 882604.4890 882604.4890 882604.4890
r 640 10000000 100 168757.0460 0.0000 168757.0460 168757.0460 168757.0460 168757.0460
2 640 10000000 1000 217180.8730 0.0000 217180.8730 217180.8730 217180.8730 217180.8730
r 640 10000000 1000 167868.9450 0.0000 167868.9450 167868.9450 167868.9450 167868.9450
2 640 10000000 10000 122512.8140 0.0000 122512.8140 122512.8140 122512.8140 122512.8140
r 640 10000000 10000 172911.9010 0.0000 172911.9010 172911.9010 172911.9010 172911.9010
2 640 10000000 100000 324292.7530 0.0000 324292.7530 324292.7530 324292.7530 324292.7530
r 640 10000000 100000 174372.0420 0.0000 174372.0420 174372.0420 174372.0420 174372.0420
2 640 10000000 1000000 2304182.2750 0.0000 2304182.2750 2304182.2750 2304182.2750 2304182.2750
r 640 10000000 1000000 175109.5380 0.0000 175109.5380 175109.5380 175109.5380 175109.5380
2 640 10000000 10000000 23208176.6880 0.0000 23208176.6880 23208176.6880 23208176.6880 23208176.6880
r 640 10000000 10000000 168696.7710 0.0000 168696.7710 168696.7710 168696.7710 168696.7710
