ver size count b avg std med min lower upper
2 16 100 10 218.4945 55.3708 207.1630 129.9780 190.4730 246.5160
r 16 100 10 35.4908 5.6053 30.9060 25.2860 32.6541 38.3275
2 16 100 100 91.1195 31.4775 70.2970 43.0830 75.1897 107.0493
r 16 100 100 26.4326 4.3003 24.3300 15.5520 24.2564 28.6088
2 16 512 10 276.0936 13.6202 263.1650 254.8260 268.6896 283.4977
r 16 512 10 28.5834 11.4706 17.0440 10.9590 22.3479 34.8189
2 16 512 100 70.6860 4.1283 68.5750 59.7940 68.4418 72.9302
r 16 512 100 27.3954 12.7912 13.0870 11.7850 20.4420 34.3488
2 16 4096 10 2060.7893 26.7068 2050.8710 1990.8700 2045.0066 2076.5720
r 16 4096 10 76.7483 8.2962 70.6430 64.3710 71.8455 81.6510
2 16 4096 100 279.1478 8.3108 273.8820 264.8180 274.2365 284.0592
r 16 4096 100 44.3698 4.6903 40.3530 35.2410 41.5980 47.1416
2 16 4096 1000 134.1384 13.7734 121.1600 115.1740 125.9988 142.2779
r 16 4096 1000 41.8601 3.5469 40.0990 35.4480 39.7640 43.9562
2 16 10000 10 4923.0957 39.2775 4887.2510 4861.2960 4897.4343 4948.7570
r 16 10000 10 119.8760 14.7048 104.7910 94.0290 110.2689 129.4831
2 16 10000 100 648.3332 11.8961 642.9390 620.0140 640.5611 656.1053
r 16 10000 100 111.9127 14.6543 97.8980 87.5020 102.3386 121.4868
2 16 10000 1000 229.1260 40.5183 184.9080 173.8380 202.6540 255.5980
r 16 10000 1000 78.2164 1.6151 77.1090 74.6530 77.1612 79.2717
2 16 10000 10000 535.3951 12.8815 521.6500 518.8990 526.9792 543.8110
r 16 10000 10000 93.8363 16.2206 76.7670 73.8900 83.2389 104.4338
2 16 65536 10 30853.0643 620.9909 30339.5520 30178.0030 30393.0278 31313.1008
r 16 65536 10 487.3564 71.3285 426.4160 419.3710 434.5155 540.1973
2 16 65536 100 3977.0437 96.3222 3978.0750 3761.8930 3905.6872 4048.4002
r 16 65536 100 422.0970 14.1641 410.3620 397.0980 411.6041 432.5899
2 16 65536 1000 1034.1640 32.2600 996.4480 985.6630 1010.2655 1058.0625
r 16 65536 1000 417.7140 7.6261 411.0110 404.7130 412.0645 423.3635
2 16 65536 10000 940.5313 41.0388 913.7430 866.6660 910.1293 970.9333
r 16 65536 10000 412.8024 11.6020 404.0320 390.6840 404.2075 421.3973
2 16 524288 10 270284.7358 12449.4183 262747.5370 252421.9310 259372.3395 281197.1321
r 16 524288 10 3960.1562 819.5040 2914.2050 2891.9750 3241.8293 4678.4831
2 16 524288 100 39840.1088 581.7893 39963.8390 39112.3190 39330.1480 40350.0696
r 16 524288 100 3135.3556 126.0608 3096.5520 2917.2440 3024.8584 3245.8528
2 16 524288 1000 8376.4360 272.9599 8216.2160 7913.7220 8137.1761 8615.6959
r 16 524288 1000 3395.3056 449.8321 3043.6580 2856.1070 3001.0104 3789.6008
2 16 524288 10000 4016.9606 82.5393 3982.3880 3844.6010 3944.6117 4089.3095
r 16 524288 10000 2974.5390 75.3400 2886.4330 2874.4260 2908.5006 3040.5774
2 16 524288 100000 6224.5350 133.4020 6069.4830 6037.4890 6107.6030 6341.4670
r 16 524288 100000 2974.9540 65.5971 2903.7360 2889.7710 2917.4556 3032.4524
2 16 1000000 10 545855.7420 37132.9075 512436.8440 490903.6200 503835.9015 587875.5825
r 16 1000000 10 6775.6133 690.1460 6669.2250 5604.1560 5994.6396 7556.5871
2 16 1000000 100 75075.8227 742.3325 74577.7120 74433.4820 74235.7943 75915.8510
r 16 1000000 100 5630.8063 26.0215 5606.4470 5596.8890 5601.3602 5660.2525
2 16 1000000 1000 14617.6230 272.6354 14436.4120 14181.5580 14309.1071 14926.1389
r 16 1000000 1000 5620.7737 32.6830 5605.4400 5590.6790 5583.7893 5657.7580
2 16 1000000 10000 7065.5017 24.0815 7050.1220 7041.8990 7038.2509 7092.7525
r 16 1000000 10000 5537.5580 22.6157 5536.0380 5498.4160 5511.9660 5563.1500
2 16 1000000 100000 8561.0027 120.7813 8492.3680 8384.2460 8424.3258 8697.6796
r 16 1000000 100000 5468.9497 21.2935 5458.7130 5440.0310 5444.8538 5493.0455
2 16 1000000 1000000 45229.1023 4571.6206 42027.2320 41965.8220 40055.8266 50402.3781
r 16 1000000 1000000 5554.1900 41.8229 5520.9930 5489.8050 5506.8629 5601.5171
2 16 10000000 10 6385326.9190 0.0000 6385326.9190 6385326.9190 6385326.9190 6385326.9190
r 16 10000000 10 63862.9990 0.0000 63862.9990 63862.9990 63862.9990 63862.9990
2 16 10000000 100 671340.2640 0.0000 671340.2640 671340.2640 671340.2640 671340.2640
r 16 10000000 100 61351.9840 0.0000 61351.9840 61351.9840 61351.9840 61351.9840
2 16 10000000 1000 200724.9780 0.0000 200724.9780 200724.9780 200724.9780 200724.9780
r 16 10000000 1000 62627.5140 0.0000 62627.5140 62627.5140 62627.5140 62627.5140
2 16 10000000 10000 62691.3330 0.0000 62691.3330 62691.3330 62691.3330 62691.3330
r 16 10000000 10000 62888.5350 0.0000 62888.5350 62888.5350 62888.5350 62888.5350
2 16 10000000 100000 54017.2550 0.0000 54017.2550 54017.2550 54017.2550 54017.2550
r 16 10000000 100000 62750.8250 0.0000 62750.8250 62750.8250 62750.8250 62750.8250
2 16 10000000 1000000 83438.0020 0.0000 83438.0020 83438.0020 83438.0020 83438.0020
r 16 10000000 1000000 63222.0140 0.0000 63222.0140 63222.0140 63222.0140 63222.0140
2 16 10000000 10000000 532594.6480 0.0000 532594.6480 532594.6480 532594.6480 532594.6480
r 16 10000000 10000000 63219.2030 0.0000 63219.2030 63219.2030 63219.2030 63219.2030
