ver size count b avg std med min lower upper
3 640 2 1 2730.4491 237.6912 2491.4290 2412.6670 2617.4578 2843.4403
r 640 2 1 71.5430 41.5294 26.9160 19.2030 51.8012 91.2848
3 640 100 26 6798.3803 136.5583 6694.2300 6531.3110 6729.2723 6867.4884
r 640 100 26 256.9221 153.7322 99.2620 96.4710 179.1229 334.7214
3 640 100 52 5723.1240 905.7419 4851.9690 4355.4990 5264.7553 6181.4927
r 640 100 52 160.2932 78.5140 81.0980 68.5100 120.5596 200.0268
3 640 100 100 3497.9987 104.9099 3437.0520 3230.0260 3444.9070 3551.0904
r 640 100 100 222.5267 149.6465 68.1960 49.4830 146.7951 298.2583
3 640 512 129 4034.7552 336.1881 3699.6370 3548.2310 3852.0012 4217.5091
r 640 512 129 203.4708 105.1250 94.6750 85.4000 146.3242 260.6174
3 640 512 258 4157.2844 116.3989 4073.0730 3925.0340 4094.0092 4220.5596
r 640 512 258 97.5195 18.4020 77.8270 71.6650 87.5160 107.5229
3 640 512 512 5403.1890 717.4521 4677.4060 4449.4300 5013.1776 5793.2004
r 640 512 512 179.5131 93.3075 81.9660 66.0600 128.7906 230.2356
3 640 4096 1025 7799.8407 686.4516 7029.1600 6928.9770 7394.1737 8205.5077
r 640 4096 1025 227.5024 59.5513 173.6910 151.3610 192.3098 262.6949
3 640 4096 2050 13332.4855 2821.9491 10198.5350 9867.1210 11664.8202 15000.1509
r 640 4096 2050 299.6615 424.7485 155.2720 133.6020 48.6511 550.6718
3 640 4096 4096 27045.3531 1795.6066 25341.6850 24454.0460 25984.2174 28106.4888
r 640 4096 4096 568.3963 451.6544 145.5850 122.9870 301.4856 835.3069
3 640 10000 2501 11665.3818 777.0607 11070.0910 10573.1280 11157.7021 12173.0614
r 640 10000 2501 322.2811 74.9622 237.3880 224.9620 273.3058 371.2564
3 640 10000 5002 22531.4786 191.3680 22391.9850 22276.3310 22406.4515 22656.5056
r 640 10000 5002 239.7986 14.3908 232.1830 214.9630 230.3966 249.2005
3 640 10000 10000 37250.1220 404.8879 36884.0850 36588.4590 36985.5952 37514.6488
r 640 10000 10000 232.6440 11.1689 221.5590 215.0000 225.3470 239.9410
3 640 65536 16385 58014.8640 2793.1893 54650.5600 54282.9800 55945.6404 60084.0876
r 640 65536 16385 934.3747 70.8750 847.7190 832.5790 881.8698 986.8797
3 640 65536 32770 101822.1350 3214.8481 98387.5160 97306.7960 99440.5422 104203.7278
r 640 65536 32770 1656.8840 664.4657 948.4480 828.6860 1164.6409 2149.1271
3 640 65536 65536 177181.2120 3514.9019 173858.5300 171931.9610 174577.3362 179785.0878
r 640 65536 65536 967.8416 35.6892 944.4870 916.0200 941.4026 994.2805
3 640 524288 131073 346743.2408 5902.7057 344720.5080 336931.4180 341569.2911 351917.1905
r 640 524288 131073 11597.2850 3182.9028 7947.4840 7828.6290 8807.3477 14387.2223
3 640 524288 262146 657741.4760 11095.5035 649960.1620 639132.0670 648015.8384 667467.1136
r 640 524288 262146 9794.7790 1867.9129 8171.9590 7940.1610 8157.4812 11432.0768
3 640 524288 524288 1253548.0170 19056.9553 1245288.8640 1233527.7790 1236843.8591 1270252.1749
r 640 524288 524288 8416.5838 167.3059 8340.4640 8193.0690 8269.9337 8563.2339
3 640 1000000 250001 644751.0010 13079.3784 634448.8420 624574.8780 629950.2910 659551.7110
r 640 1000000 250001 15559.3933 63.9976 15501.7370 15474.7160 15486.9733 15631.8134
3 640 1000000 500002 1251554.5880 33486.3393 1217088.0090 1204906.3330 1213661.2278 1289447.9482
r 640 1000000 500002 15727.5533 84.7970 15738.8000 15618.5330 15631.5965 15823.5102
3 640 1000000 1000000 2340515.2073 8707.4228 2332387.2400 2328478.6870 2330661.8308 2350368.5839
r 640 1000000 1000000 15814.4620 95.8763 15727.2480 15673.1450 15705.9678 15922.9562
3 640 10000000 2500001 6252633.7890 0.0000 6252633.7890 6252633.7890 6252633.7890 6252633.7890
r 640 10000000 2500001 167875.6900 0.0000 167875.6900 167875.6900 167875.6900 167875.6900
3 640 10000000 5000002 12027786.0730 0.0000 12027786.0730 12027786.0730 12027786.0730 12027786.0730
r 640 10000000 5000002 167871.3980 0.0000 167871.3980 167871.3980 167871.3980 167871.3980
3 640 10000000 10000000 29326847.7570 0.0000 29326847.7570 29326847.7570 29326847.7570 29326847.7570
r 640 10000000 10000000 170549.8120 0.0000 170549.8120 170549.8120 170549.8120 170549.8120
