ver size count b avg std med min lower upper
3 576 2 1 2691.5410 605.5891 2088.2350 1964.0510 2403.6622 2979.4198
r 576 2 1 82.9611 47.0975 35.2580 22.4620 60.5724 105.3499
3 576 100 26 6804.5038 1068.1540 5772.8170 5608.3290 6263.9433 7345.0643
r 576 100 26 104.5229 8.3236 96.8030 90.4420 100.3105 108.7352
3 576 100 52 4752.9030 743.5959 4066.3120 3557.3990 4376.5916 5129.2144
r 576 100 52 102.0370 18.8032 85.2740 69.9260 92.5213 111.5527
3 576 100 100 3195.9111 501.3591 2701.4760 2585.7390 2942.1884 3449.6338
r 576 100 100 78.0151 8.0096 72.2040 63.8640 73.9617 82.0685
3 576 512 129 3204.0932 342.9342 2832.3470 2743.9530 3017.6721 3390.5144
r 576 512 129 107.8145 15.7619 93.0630 83.9150 99.2463 116.3828
3 576 512 258 3096.6020 107.9683 3035.9840 2877.8800 3037.9098 3155.2942
r 576 512 258 116.5272 24.7870 96.5500 70.3440 103.0528 130.0015
3 576 512 512 3459.8652 141.7780 3350.5690 3213.9510 3382.7938 3536.9365
r 576 512 512 93.1560 13.4620 81.7240 70.8580 85.8380 100.4740
3 576 4096 1025 5122.8550 182.6075 4964.0500 4777.8760 5014.9409 5230.7691
r 576 4096 1025 166.9600 37.8877 129.2490 115.0880 144.5698 189.3502
3 576 4096 2050 7177.3055 314.1822 6960.7730 6888.6150 6991.6356 7362.9753
r 576 4096 2050 138.9564 21.6658 115.8290 107.4730 126.1527 151.7600
3 576 4096 4096 18813.0980 1430.5827 17243.9490 16705.8400 17967.6777 19658.5183
r 576 4096 4096 153.5569 26.6126 135.3220 118.6460 137.8299 169.2839
3 576 10000 2501 11222.8672 3766.2072 7890.0990 7498.4990 8762.2785 13683.4559
r 576 10000 2501 205.2429 12.1628 193.1940 186.9380 197.2965 213.1893
3 576 10000 5002 19295.3626 2158.8701 17045.7820 16680.8320 17884.9008 20705.8244
r 576 10000 5002 241.6593 54.8219 189.8070 182.9380 205.8423 277.4763
3 576 10000 10000 29970.8520 766.7010 29125.5230 28937.7480 29469.9407 30471.7633
r 576 10000 10000 202.0233 12.1135 193.1370 179.6510 194.1092 209.9375
3 576 65536 16385 43091.4600 719.4134 42303.0530 42136.9420 42558.5111 43624.4089
r 576 65536 16385 764.0727 42.8428 729.6640 696.2050 732.3343 795.8111
3 576 65536 32770 72576.8927 4861.3197 67474.9670 66945.1840 68975.5767 76178.2088
r 576 65536 32770 843.3579 86.2508 802.4850 689.1340 779.4624 907.2533
3 576 65536 65536 122047.4660 2210.9614 119618.7910 118912.5560 120409.5629 123685.3691
r 576 65536 65536 839.1824 89.5492 793.6230 688.9480 772.8435 905.5214
3 576 524288 131073 248664.7876 4084.0272 245709.3550 242319.0050 245084.9799 252244.5953
r 576 524288 131073 8555.8344 2080.0271 6131.4940 5739.2510 6732.6102 10379.0586
3 576 524288 262146 475421.6692 6178.9613 471337.4620 465486.9580 470005.5709 480837.7675
r 576 524288 262146 8978.3642 3784.4176 5672.5950 4962.7590 5661.1759 12295.5525
3 576 524288 524288 918493.4838 6660.8685 914723.9850 910225.5340 912654.9751 924331.9925
r 576 524288 524288 6649.5454 995.7867 5716.4870 4975.2020 5776.6999 7522.3909
3 576 1000000 250001 490024.9230 10664.1517 479297.0420 474988.8010 477957.2993 502092.5467
r 576 1000000 250001 9828.1600 187.9892 9807.8100 9503.3490 9615.4302 10040.8898
3 576 1000000 500002 925298.7723 7482.4859 917569.5000 915994.1010 916831.5424 933766.0022
r 576 1000000 500002 10077.3180 294.8118 10201.3120 9670.5890 9743.7070 10410.9290
3 576 1000000 1000000 1813644.5983 7630.4784 1811067.9140 1801750.2260 1805009.8991 1822279.2976
r 576 1000000 1000000 10084.5000 224.0548 9838.8620 9784.0610 9830.9582 10338.0418
3 576 10000000 2500001 5054769.6120 0.0000 5054769.6120 5054769.6120 5054769.6120 5054769.6120
r 576 10000000 2500001 105928.7630 0.0000 105928.7630 105928.7630 105928.7630 105928.7630
3 576 10000000 5000002 9798347.4700 0.0000 9798347.4700 9798347.4700 9798347.4700 9798347.4700
r 576 10000000 5000002 105854.5710 0.0000 105854.5710 105854.5710 105854.5710 105854.5710
3 576 10000000 10000000 24156108.8590 0.0000 24156108.8590 24156108.8590 24156108.8590 24156108.8590
r 576 10000000 10000000 105761.4350 0.0000 105761.4350 105761.4350 105761.4350 105761.4350
