ver size count b avg std med min lower upper
3 16 2 1 96.3064 34.3210 57.0890 53.7550 79.9913 112.6216
r 16 2 1 29.0639 21.2948 6.7370 4.6050 18.9410 39.1869
3 16 100 26 201.9188 8.9122 195.2080 187.7300 197.4086 206.4290
r 16 100 26 37.7344 9.1061 28.3600 26.7060 33.1261 42.3427
3 16 100 52 128.3790 50.4385 76.8330 68.9910 102.8536 153.9044
r 16 100 52 24.0153 6.0004 20.7690 9.5270 20.9786 27.0519
3 16 100 100 86.1670 19.3839 70.5690 63.6960 76.3574 95.9766
r 16 100 100 22.0926 9.6273 11.3700 8.1140 17.2205 26.9647
3 16 512 129 89.1886 7.0404 81.9500 78.4920 85.3614 93.0158
r 16 512 129 13.9184 1.5125 12.5100 11.6990 13.0962 14.7406
3 16 512 258 82.7588 4.5895 80.3400 74.6640 80.2639 85.2537
r 16 512 258 24.2202 9.8281 13.9130 11.4910 18.8775 29.5628
3 16 512 512 91.5845 6.4809 87.8270 80.9940 88.0615 95.1076
r 16 512 512 14.0881 1.2221 13.2320 12.0140 13.4237 14.7524
3 16 4096 1025 150.2635 4.5179 146.3070 142.5400 147.5937 152.9334
r 16 4096 1025 41.9530 5.0523 38.0010 33.3970 38.9673 44.9387
3 16 4096 2050 183.4076 3.5941 180.3010 177.5360 181.2837 185.5316
r 16 4096 2050 49.3195 11.8774 37.4390 33.5880 42.3004 56.3387
3 16 4096 4096 351.4250 8.1869 344.8960 338.6760 346.5869 356.2631
r 16 4096 4096 40.7243 4.6004 37.4130 32.4990 38.0056 43.4429
3 16 10000 2501 237.9074 12.1198 225.8200 219.1530 229.9892 245.8257
r 16 10000 2501 84.7640 10.3803 74.0900 70.4480 77.9822 91.5458
3 16 10000 5002 413.5734 3.8458 409.6610 408.0000 411.0608 416.0861
r 16 10000 5002 78.7289 5.7639 74.1900 69.7780 74.9631 82.4946
3 16 10000 10000 574.1162 5.3279 568.9760 564.0300 570.6353 577.5971
r 16 10000 10000 73.2847 1.6507 72.2220 69.8340 72.2062 74.3631
3 16 65536 16385 1195.8729 24.4206 1186.6790 1134.3770 1177.7818 1213.9639
r 16 65536 16385 395.8880 16.4954 379.2090 374.1280 383.6680 408.1080
3 16 65536 32770 1911.3667 22.2514 1891.6850 1876.5750 1894.8826 1927.8508
r 16 65536 32770 392.0844 4.1660 389.8070 384.7390 388.9982 395.1706
3 16 65536 65536 3289.3824 9.0464 3287.2310 3269.6710 3282.6808 3296.0841
r 16 65536 65536 521.9250 110.8281 403.7510 392.2420 439.8224 604.0276
3 16 524288 131073 8160.2394 26.8501 8135.2590 8114.1050 8136.7042 8183.7746
r 16 524288 131073 2896.3140 15.2864 2884.5040 2874.9580 2882.9149 2909.7131
3 16 524288 262146 14019.9528 25.5324 13989.3770 13984.1420 13997.5727 14042.3329
r 16 524288 262146 2933.6632 24.3676 2912.7710 2893.7210 2912.3040 2955.0224
3 16 524288 524288 25187.1410 97.0861 25085.7850 25050.5810 25102.0413 25272.2407
r 16 524288 524288 3861.9110 876.9678 2896.2160 2854.9130 3093.2148 4630.6072
3 16 1000000 250001 15975.6423 38.0389 15961.6310 15937.6680 15932.5972 16018.6874
r 16 1000000 250001 5632.7150 2.4163 5630.6410 5629.2310 5629.9807 5635.4493
3 16 1000000 500002 26923.6890 7.1105 26925.6230 26914.1760 26915.6427 26931.7353
r 16 1000000 500002 5754.9507 22.3995 5752.0640 5716.2880 5729.6032 5780.2981
3 16 1000000 1000000 49927.7693 126.3877 49919.1560 49732.1220 49784.7482 50070.7905
r 16 1000000 1000000 5951.7583 297.6864 5752.5550 5730.1680 5614.8945 6288.6222
3 16 10000000 2500001 170838.1660 0.0000 170838.1660 170838.1660 170838.1660 170838.1660
r 16 10000000 2500001 59666.5860 0.0000 59666.5860 59666.5860 59666.5860 59666.5860
3 16 10000000 5000002 287745.5300 0.0000 287745.5300 287745.5300 287745.5300 287745.5300
r 16 10000000 5000002 59320.3820 0.0000 59320.3820 59320.3820 59320.3820 59320.3820
3 16 10000000 10000000 537152.6830 0.0000 537152.6830 537152.6830 537152.6830 537152.6830
r 16 10000000 10000000 60065.0360 0.0000 60065.0360 60065.0360 60065.0360 60065.0360
