ver size count b avg std med min lower upper
3 320 2 1 1204.7009 92.1497 1115.0850 1098.4380 1160.8957 1248.5061
r 320 2 1 28.7428 5.8571 24.3370 19.2920 25.9585 31.5271
3 320 100 26 4097.4803 996.5898 3139.6720 3053.1250 3593.1362 4601.8243
r 320 100 26 99.6508 7.5744 93.3880 84.1060 95.8176 103.4840
3 320 100 52 2846.3965 608.1839 2253.3460 1893.9340 2538.6130 3154.1801
r 320 100 52 88.7646 12.2319 78.6720 63.6440 82.5744 94.9548
3 320 100 100 1623.3085 90.1761 1558.5170 1450.2000 1577.6731 1668.9439
r 320 100 100 103.6309 32.8624 70.0080 56.3870 87.0003 120.2616
3 320 512 129 1872.8832 224.9933 1646.9720 1585.8700 1750.5754 1995.1909
r 320 512 129 85.1342 11.8630 74.7690 66.2360 78.6853 91.5830
3 320 512 258 2556.2355 750.6977 1767.9080 1712.8400 2148.1516 2964.3195
r 320 512 258 80.0232 10.2170 70.7560 63.1980 74.4691 85.5772
3 320 512 512 1955.3281 53.1604 1906.1250 1864.6580 1926.4298 1984.2264
r 320 512 512 79.7875 11.0563 69.9690 61.8770 73.7772 85.7977
3 320 4096 1025 2968.2833 81.3046 2884.0240 2825.1140 2920.2353 3016.3312
r 320 4096 1025 279.2930 125.1955 148.9090 124.1920 205.3072 353.2788
3 320 4096 2050 4102.2750 180.8615 3921.1220 3822.2390 3995.3927 4209.1573
r 320 4096 2050 2658.4110 2417.8743 121.5440 109.3620 1229.5386 4087.2834
3 320 4096 4096 9654.3537 218.2160 9454.6640 9362.3590 9525.3963 9783.3111
r 320 4096 4096 118.7021 10.0953 108.2490 101.6100 112.7361 124.6680
3 320 10000 2501 4518.6817 198.6550 4302.7890 4258.4940 4388.8937 4648.4696
r 320 10000 2501 338.4531 145.2947 183.7170 175.2780 243.5272 433.3790
3 320 10000 5002 9716.3629 200.2710 9582.0410 9325.8580 9585.5191 9847.2066
r 320 10000 5002 183.5241 6.1216 180.6850 167.5220 179.5247 187.5236
3 320 10000 10000 16180.5040 96.7689 16098.7990 15998.5080 16117.2817 16243.7263
r 320 10000 10000 207.4706 34.9747 176.9500 173.5640 184.6204 230.3207
3 320 65536 16385 24519.8070 764.6206 23736.4770 23639.3790 23953.3682 25086.2458
r 320 65536 16385 767.2599 97.0985 690.8780 680.2440 695.3283 839.1914
3 320 65536 32770 38988.4926 995.5581 38079.0670 37975.8240 38250.9728 39726.0123
r 320 65536 32770 743.5999 58.6874 746.0270 678.2340 700.1236 787.0761
3 320 65536 65536 70192.0887 2151.0257 68761.4940 67118.5750 68598.5866 71785.5909
r 320 65536 65536 4420.3174 3195.0656 851.2010 704.7280 2053.3797 6787.2552
3 320 524288 131073 141831.4074 4003.4904 137190.6560 136196.0810 138322.1933 145340.6215
r 320 524288 131073 6376.9570 408.6355 6149.2080 5599.9140 6018.7722 6735.1418
3 320 524288 262146 271082.5980 5514.5055 266533.0410 262102.7050 266248.9208 275916.2752
r 320 524288 262146 6655.1890 1037.2567 5595.0350 4960.1410 5745.9934 7564.3846
3 320 524288 524288 516325.1544 6711.1750 511052.9410 504709.3140 510442.5501 522207.7587
r 320 524288 524288 6561.3906 686.1584 5898.8050 5582.7930 5959.9462 7162.8350
3 320 1000000 250001 274330.3130 4971.4630 270153.5940 266800.2830 268704.5730 279956.0530
r 320 1000000 250001 10324.7393 638.3774 9957.9340 9583.2230 9602.3473 11047.1314
3 320 1000000 500002 524433.6373 5042.3288 522596.8550 516726.0830 518727.7051 530139.5696
r 320 1000000 500002 11121.0567 122.7622 11029.9060 10934.4390 10982.1381 11259.9752
3 320 1000000 1000000 1027451.3253 7241.2919 1023404.7810 1018765.9170 1019257.0322 1035645.6185
r 320 1000000 1000000 11375.5653 326.4931 11477.0120 10934.7420 11006.1037 11745.0270
3 320 10000000 2500001 2857487.1500 0.0000 2857487.1500 2857487.1500 2857487.1500 2857487.1500
r 320 10000000 2500001 128627.7250 0.0000 128627.7250 128627.7250 128627.7250 128627.7250
3 320 10000000 5000002 5511558.4020 0.0000 5511558.4020 5511558.4020 5511558.4020 5511558.4020
r 320 10000000 5000002 104719.7810 0.0000 104719.7810 104719.7810 104719.7810 104719.7810
3 320 10000000 10000000 13577052.7800 0.0000 13577052.7800 13577052.7800 13577052.7800 13577052.7800
r 320 10000000 10000000 112693.5050 0.0000 112693.5050 112693.5050 112693.5050 112693.5050
