ver size count b avg std med min lower upper
3 32 2 1 189.5596 65.2452 120.3490 116.3640 158.5440 220.5752
r 32 2 1 40.3668 30.9245 7.2620 4.2010 25.6662 55.0674
3 32 100 26 369.6669 43.4952 342.9760 263.1980 347.6553 391.6786
r 32 100 26 55.3281 5.5036 51.8980 46.1480 52.5428 58.1133
3 32 100 52 328.0728 145.2842 184.1930 141.2360 254.5489 401.5967
r 32 100 52 44.9200 12.0768 34.6340 23.3690 38.8083 51.0317
3 32 100 100 224.5451 66.2432 151.9200 140.3900 191.0214 258.0688
r 32 100 100 28.4840 8.3297 22.3690 13.9680 24.2686 32.6994
3 32 512 129 239.8990 47.0174 191.5060 172.3400 214.3401 265.4579
r 32 512 129 60.4422 19.6212 42.5070 24.2770 49.7760 71.1084
3 32 512 258 216.7514 18.9468 197.3760 188.5710 206.4518 227.0510
r 32 512 258 50.4231 20.9677 30.6490 18.4490 39.0249 61.8212
3 32 512 512 224.0488 25.9722 197.3780 193.3070 209.9302 238.1675
r 32 512 512 28.4982 5.3674 25.5900 18.2240 25.5805 31.4160
3 32 4096 1025 351.7141 16.5442 335.6070 325.7690 341.9371 361.4911
r 32 4096 1025 62.2689 10.8681 51.1520 44.8390 55.8463 68.6915
3 32 4096 2050 469.0501 15.2746 461.7000 433.3650 460.0234 478.0768
r 32 4096 2050 55.9650 8.4588 47.1880 44.8360 50.9662 60.9638
3 32 4096 4096 844.6969 14.8491 831.3230 822.3920 835.9216 853.4722
r 32 4096 4096 67.3483 9.9076 63.8200 47.3440 61.4932 73.2033
3 32 10000 2501 532.2517 17.7394 515.5700 507.3930 520.6619 543.8414
r 32 10000 2501 108.0870 12.3962 95.4870 89.6900 99.9881 116.1859
3 32 10000 5002 982.4086 9.9230 974.3000 964.5310 975.9255 988.8916
r 32 10000 5002 105.5760 7.8445 99.5210 90.9880 100.4509 110.7011
3 32 10000 10000 1600.4470 30.4883 1577.8920 1529.8300 1580.5280 1620.3660
r 32 10000 10000 150.0417 16.7596 141.3190 115.3630 139.0921 160.9913
3 32 65536 16385 2891.4059 23.8803 2875.8210 2848.3570 2873.7151 2909.0966
r 32 65536 16385 565.8250 46.8684 529.1710 475.6830 531.1044 600.5456
3 32 65536 32770 4799.0379 21.3698 4783.0680 4761.2210 4783.2069 4814.8688
r 32 65536 32770 564.7780 50.3407 517.3340 493.4640 527.4851 602.0709
3 32 65536 65536 8325.3377 32.8137 8310.7460 8262.6990 8301.0290 8349.6464
r 32 65536 65536 528.8963 28.1784 527.9310 474.4640 508.0214 549.7711
3 32 524288 131073 20689.2894 4338.7392 18009.0630 17930.0400 16886.2168 24492.3620
r 32 524288 131073 5011.4368 336.3547 4723.4530 4703.7000 4716.6089 5306.2647
3 32 524288 262146 33874.7856 1623.1060 32104.3370 32021.6840 32452.0704 35297.5008
r 32 524288 262146 4892.4470 224.8842 4641.0060 4593.3530 4695.3273 5089.5667
3 32 524288 524288 59859.0068 173.7296 59778.3340 59561.0760 59706.7260 60011.2876
r 32 524288 524288 5107.1524 203.2280 4922.0910 4892.8750 4929.0152 5285.2896
3 32 1000000 250001 34460.5740 718.8290 33800.7270 33404.7580 33647.1424 35274.0056
r 32 1000000 250001 9865.3050 29.1664 9847.8990 9841.6230 9832.3002 9898.3098
3 32 1000000 500002 60266.6603 20.9933 60258.5400 60234.9590 60242.9042 60290.4165
r 32 1000000 500002 10112.4840 99.6171 10003.3070 9978.8760 9999.7566 10225.2114
3 32 1000000 1000000 113935.0953 730.4879 114441.0670 112902.1010 113108.4705 114761.7202
r 32 1000000 1000000 10438.9360 261.0092 10150.1380 10091.1240 10143.5762 10734.2958
3 32 10000000 2500001 333172.6360 0.0000 333172.6360 333172.6360 333172.6360 333172.6360
r 32 10000000 2500001 105752.9180 0.0000 105752.9180 105752.9180 105752.9180 105752.9180
3 32 10000000 5000002 608923.3660 0.0000 608923.3660 608923.3660 608923.3660 608923.3660
r 32 10000000 5000002 105157.5290 0.0000 105157.5290 105157.5290 105157.5290 105157.5290
3 32 10000000 10000000 1197272.9850 0.0000 1197272.9850 1197272.9850 1197272.9850 1197272.9850
r 32 10000000 10000000 102960.9590 0.0000 102960.9590 102960.9590 102960.9590 102960.9590
