ver size count b avg std med min lower upper
3 20 2 1 110.6820 20.8189 88.6660 82.6450 100.7853 120.5787
r 20 2 1 25.5258 13.5914 11.1150 8.9870 19.0648 31.9867
3 20 100 26 113.4950 10.1398 103.0600 101.4900 108.3636 118.6264
r 20 100 26 17.2960 4.3012 12.9230 10.5900 15.1193 19.4727
3 20 100 52 101.0221 3.2813 97.8900 96.3980 99.3616 102.6827
r 20 100 52 13.5615 0.9772 12.7690 11.6050 13.0670 14.0560
3 20 100 100 97.8240 2.0324 96.0590 93.9410 96.7955 98.8525
r 20 100 100 16.4291 4.0142 12.2640 11.7490 14.3976 18.4605
3 20 512 129 112.2273 4.9427 107.1900 104.6500 109.5404 114.9142
r 20 512 129 28.5754 12.8259 15.3200 13.6470 21.6032 35.5476
3 20 512 258 120.5945 12.9906 106.2370 102.4050 113.5327 127.6562
r 20 512 258 17.4644 2.3553 15.3400 13.4540 16.1840 18.7448
3 20 512 512 702.7814 560.1880 115.2530 113.8040 398.2597 1007.3031
r 20 512 512 21.6945 6.6616 15.2650 13.0440 18.0732 25.3157
3 20 4096 1025 162.6480 7.6375 154.6200 153.0320 158.1345 167.1615
r 20 4096 1025 49.7604 7.0344 42.9260 41.4750 45.6033 53.9174
3 20 4096 2050 263.1668 16.9763 250.9590 236.0490 253.1345 273.1991
r 20 4096 2050 51.9722 7.5851 44.6090 42.1050 47.4897 56.4547
3 20 4096 4096 260.4075 9.0579 251.8010 246.7310 255.0546 265.7603
r 20 4096 4096 53.9580 10.6393 42.4420 41.2820 47.6706 60.2454
3 20 10000 2501 800.9101 489.1305 302.5310 289.5870 481.3448 1120.4754
r 20 10000 2501 105.4273 22.1918 83.1040 78.9710 90.9287 119.9260
3 20 10000 5002 310.1714 6.5941 304.8820 299.6970 305.8633 314.4796
r 20 10000 5002 90.0544 7.0022 83.7970 80.8030 85.4797 94.6292
3 20 10000 10000 574.1670 13.6217 559.5460 552.1550 565.2675 583.0665
r 20 10000 10000 89.2328 8.5482 85.7410 75.3040 83.6480 94.8176
3 20 65536 16385 1238.4480 23.6015 1223.6730 1192.0570 1220.9638 1255.9322
r 20 65536 16385 526.3756 59.6731 471.6520 431.2550 482.1691 570.5820
3 20 65536 32770 1780.2390 28.1799 1753.9020 1741.4890 1759.3631 1801.1149
r 20 65536 32770 521.4730 28.1165 500.8280 476.2530 500.6440 542.3020
3 20 65536 65536 2546.1079 36.6067 2512.8340 2489.2070 2518.9892 2573.2265
r 20 65536 65536 557.2711 28.0724 526.4660 519.1820 536.4748 578.0675
3 20 524288 131073 5254.0580 19.6759 5238.7420 5224.7930 5236.8114 5271.3046
r 20 524288 131073 2232.2058 74.9306 2186.0470 2090.3330 2166.5262 2297.8854
3 20 524288 262146 8894.3108 37.3983 8884.6310 8827.1880 8861.5298 8927.0918
r 20 524288 262146 2166.2246 69.3562 2100.1750 2059.6550 2105.4312 2227.0180
3 20 524288 524288 15736.8282 81.3930 15691.3320 15605.9080 15665.4841 15808.1723
r 20 524288 524288 2220.3450 116.1436 2108.3620 2046.3730 2118.5406 2322.1494
3 20 1000000 250001 9259.6340 64.0922 9183.5360 9178.8100 9187.1069 9332.1611
r 20 1000000 250001 3605.0213 7.9790 3601.3970 3597.5790 3595.9922 3614.0505
3 20 1000000 500002 16101.1040 75.0000 16010.1960 16008.3100 16016.2335 16185.9745
r 20 1000000 500002 3616.3360 143.0570 3544.9200 3379.0690 3454.4518 3778.2202
3 20 1000000 1000000 33535.9020 3141.3332 30665.3760 28913.7810 29981.1489 37090.6551
r 20 1000000 1000000 3608.6680 29.4796 3602.8600 3559.2870 3575.3086 3642.0274
3 20 10000000 2500001 109081.4050 0.0000 109081.4050 109081.4050 109081.4050 109081.4050
r 20 10000000 2500001 58304.2180 0.0000 58304.2180 58304.2180 58304.2180 58304.2180
3 20 10000000 5000002 201722.5950 0.0000 201722.5950 201722.5950 201722.5950 201722.5950
r 20 10000000 5000002 59242.4270 0.0000 59242.4270 59242.4270 59242.4270 59242.4270
3 20 10000000 10000000 537378.9330 0.0000 537378.9330 537378.9330 537378.9330 537378.9330
r 20 10000000 10000000 51378.9130 0.0000 51378.9130 51378.9130 51378.9130 51378.9130
