ver size count b avg std med min lower upper
3 36 2 1 171.2350 14.8980 156.1510 150.8890 164.1529 178.3171
r 36 2 1 20.2248 7.9470 11.9070 10.7220 16.4470 24.0025
3 36 100 26 183.5838 7.7255 176.0390 173.0580 179.6741 187.4935
r 36 100 26 28.2338 4.1366 23.8360 22.4610 26.1404 30.3272
3 36 100 52 177.7959 7.2178 169.5170 167.3600 174.1432 181.4486
r 36 100 52 24.1813 1.3914 23.0210 21.1610 23.4772 24.8855
3 36 100 100 176.8749 6.0723 170.4380 168.4060 173.8019 179.9480
r 36 100 100 26.1873 2.5028 23.5690 22.8230 24.9207 27.4538
3 36 512 129 187.7355 5.3729 183.1460 178.3880 184.8147 190.6562
r 36 512 129 33.0350 7.5991 25.1890 24.1650 28.9041 37.1659
3 36 512 258 297.5506 94.7097 203.9010 192.8560 246.0658 349.0354
r 36 512 258 33.6509 7.4795 25.4660 24.6240 29.5850 37.7168
3 36 512 512 737.0796 512.9799 203.7760 201.0670 458.2206 1015.9387
r 36 512 512 38.4527 13.5919 24.7010 22.8730 31.0641 45.8413
3 36 4096 1025 295.4527 30.7494 262.2220 258.6580 277.2810 313.6245
r 36 4096 1025 53.8895 11.7864 41.6540 40.4830 46.9242 60.8549
3 36 4096 2050 428.4747 18.1048 413.1000 395.7280 417.7755 439.1740
r 36 4096 2050 42.9737 2.0266 41.0150 39.7040 41.7761 44.1714
3 36 4096 4096 756.6184 296.4021 433.9980 426.6960 581.4559 931.7808
r 36 4096 4096 71.0705 28.8444 41.5340 38.9820 54.0246 88.1165
3 36 10000 2501 703.0194 177.9120 527.3150 501.1000 586.7836 819.2553
r 36 10000 2501 256.2798 211.6799 71.2460 67.7900 117.9822 394.5773
3 36 10000 5002 521.0493 7.4907 515.5100 503.3300 516.1554 525.9433
r 36 10000 5002 77.7746 3.1345 75.8040 72.0280 75.7267 79.8224
3 36 10000 10000 1429.9588 325.7483 1067.2340 1061.6990 1217.1366 1642.7810
r 36 10000 10000 100.5523 11.7291 95.6230 73.5150 92.8893 108.2154
3 36 65536 16385 2158.1954 28.2390 2135.1560 2110.4170 2137.2757 2179.1151
r 36 65536 16385 441.0921 10.9297 428.2810 426.0400 432.9953 449.1889
3 36 65536 32770 3247.7251 35.2953 3224.6090 3172.2300 3221.5780 3273.8722
r 36 65536 32770 436.3300 14.0031 426.4700 407.2680 425.9564 446.7036
3 36 65536 65536 4615.3086 17.0333 4604.7510 4589.5630 4602.6902 4627.9270
r 36 65536 65536 447.9370 14.3190 435.3630 423.0500 437.3293 458.5447
3 36 524288 131073 8861.5290 36.6571 8827.2830 8804.2510 8829.3976 8893.6604
r 36 524288 131073 1777.0636 11.5695 1768.1280 1758.2910 1766.9225 1787.2047
3 36 524288 262146 15145.3480 122.4862 15017.6120 14982.3810 15037.9841 15252.7119
r 36 524288 262146 1751.4102 26.0280 1745.7130 1694.5870 1728.5957 1774.2247
3 36 524288 524288 27396.6510 51.2756 27345.4810 27323.0470 27351.7060 27441.5960
r 36 524288 524288 1758.8452 18.2889 1752.8380 1720.7970 1742.8143 1774.8761
3 36 1000000 250001 15528.1210 120.4871 15414.4280 15353.1200 15391.7770 15664.4650
r 36 1000000 250001 3097.5717 12.0660 3090.2550 3084.5680 3083.9177 3111.2256
3 36 1000000 500002 27407.2170 69.5090 27390.6300 27287.9720 27328.5602 27485.8738
r 36 1000000 500002 3019.0573 21.9169 3018.9150 2985.1040 2994.2560 3043.8587
3 36 1000000 1000000 51855.8810 392.2055 51396.9750 51355.0010 51412.0587 52299.7033
r 36 1000000 1000000 3034.8900 37.3446 3011.1030 2998.0830 2992.6306 3077.1494
3 36 10000000 2500001 191372.5680 0.0000 191372.5680 191372.5680 191372.5680 191372.5680
r 36 10000000 2500001 57562.1610 0.0000 57562.1610 57562.1610 57562.1610 57562.1610
3 36 10000000 5000002 353228.3750 0.0000 353228.3750 353228.3750 353228.3750 353228.3750
r 36 10000000 5000002 49598.8930 0.0000 49598.8930 49598.8930 49598.8930 49598.8930
3 36 10000000 10000000 1022088.2950 0.0000 1022088.2950 1022088.2950 1022088.2950 1022088.2950
r 36 10000000 10000000 48091.2990 0.0000 48091.2990 48091.2990 48091.2990 48091.2990
